Date,Southampton,Leeds,Man United,Everton,Charlton,Blackburn,Fulham,Arsenal,Aston Villa,Newcastle,Chelsea,West Brom,West Ham,Sunderland,Tottenham,Man City,Birmingham,Liverpool,Bolton,Middlesbrough
2002/8/17,1,3,3,1,0,1,3,0,0,0,3,0,0,1,1,0,0,0,0,1
2002/8/18,1,3,3,1,0,1,3,3,0,0,3,0,0,1,1,0,0,3,0,1
2002/8/19,1,3,3,1,0,1,3,3,0,3,3,0,0,1,1,0,0,3,0,1
2002/8/23,1,3,4,1,0,1,3,3,0,3,4,0,0,1,1,0,0,3,0,1
2002/8/24,1,6,4,4,3,4,4,4,0,3,4,0,1,1,4,3,0,6,0,2
2002/8/27,1,6,4,4,3,4,4,7,0,3,4,0,1,1,7,3,0,6,0,2
2002/8/28,2,6,4,5,3,5,4,7,3,3,5,0,1,4,7,3,1,7,0,2
2002/8/31,2,6,5,5,6,5,4,7,3,3,5,3,1,5,10,6,4,7,0,5
2002/9/1,2,6,5,5,6,5,4,8,3,3,6,3,1,5,10,6,4,7,3,5
2002/9/2,2,6,5,5,6,5,4,8,3,4,6,3,1,5,10,6,4,8,3,5
2002/9/3,2,6,8,5,6,5,4,8,3,4,6,3,1,5,10,6,4,8,3,5
2002/9/10,2,6,8,5,6,5,4,11,3,4,6,3,1,5,10,6,4,8,3,8
2002/9/11,5,9,8,5,6,5,7,11,6,4,9,6,1,5,10,6,5,9,6,8
2002/9/14,5,12,8,8,6,5,10,14,6,4,12,9,1,5,10,6,5,12,6,8
2002/9/15,5,12,8,8,6,6,10,14,6,4,12,9,1,5,13,7,5,12,6,8
2002/9/16,5,12,8,8,6,6,10,14,6,4,12,9,1,5,13,7,8,12,6,8
2002/9/21,6,12,11,8,7,6,10,17,6,7,12,9,2,5,13,8,8,15,6,11
2002/9/22,6,12,11,8,7,9,10,17,9,7,12,9,2,5,13,8,8,15,6,11
2002/9/23,6,12,11,8,7,9,11,17,9,7,13,9,2,5,13,8,8,15,6,11
2002/9/28,7,12,14,11,7,9,11,20,9,10,13,9,5,8,13,8,8,18,7,14
