Date,Arsenal,Birmingham,Blackburn,Fulham,Man United,Portsmouth,Leicester,Charlton,Leeds,Liverpool,Southampton,Wolves,Tottenham,Newcastle,Everton,Chelsea,Bolton,Man City,Aston Villa,Middlesbrough
2003/8/16,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2003/8/17,3,3,3,3,3,3,1,0,1,0,1,0,0,1,0,3,0,3,0,0
2003/8/23,3,4,4,3,6,4,1,3,1,0,2,0,3,1,3,6,1,4,0,0
2003/8/24,6,4,4,3,6,4,1,3,1,1,2,0,3,1,3,6,1,4,1,0
2003/8/25,6,4,4,3,6,4,1,3,1,1,2,0,3,1,3,6,1,7,1,0
2003/8/26,6,4,4,3,6,7,2,4,2,1,3,0,3,1,4,6,1,7,1,1
2003/8/27,9,4,4,3,9,7,2,4,2,2,3,0,4,1,4,6,1,7,1,1
2003/8/30,9,7,5,6,9,8,2,5,5,5,3,1,4,1,4,7,2,7,4,1
2003/8/31,12,7,5,6,9,8,2,5,5,5,6,1,4,1,4,7,2,7,4,1
2003/9/13,13,7,5,6,12,9,2,5,5,8,9,1,4,2,5,10,5,7,4,1
2003/9/14,13,8,5,7,12,9,2,5,5,8,9,1,4,2,5,10,5,10,4,1
2003/9/15,13,8,5,7,12,9,5,5,5,8,9,1,4,2,5,10,5,10,4,1
2003/9/20,13,11,8,8,12,9,5,5,5,11,12,1,4,3,5,13,6,11,7,1
2003/9/21,14,11,8,8,13,9,5,5,5,11,12,1,4,3,5,13,6,11,7,4
2003/9/26,17,11,8,8,13,9,5,5,5,11,12,1,4,3,5,13,6,11,7,4
2003/9/27,17,14,8,8,16,9,5,5,5,11,12,2,4,3,5,16,7,11,7,7
2003/9/28,17,14,8,11,16,9,5,8,5,11,12,2,5,3,8,16,7,12,7,7
2003/10/4,20,14,8,14,19,9,5,11,8,11,12,5,8,6,8,16,7,12,7,7
2003/10/5,20,14,8,14,19,9,5,11,8,11,12,5,8,6,8,19,8,12,8,7
2003/10/14,20,15,8,14,19,9,5,11,8,11,12,5,8,6,8,20,8,12,8,7
2003/10/18,23,15,8,15,22,12,5,11,8,11,12,6,8,9,8,20,8,15,8,7
2003/10/19,23,16,8,15,22,12,5,11,8,11,13,6,11,9,9,20,8,15,9,7
2003/10/20,23,16,8,15,22,12,5,14,8,11,13,6,11,9,9,20,8,15,9,7
2003/10/21,23,16,8,15,22,12,5,14,8,11,13,6,11,12,9,20,8,15,9,7
2003/10/25,23,19,8,18,22,12,5,14,8,14,16,9,11,15,10,23,8,15,10,7
2003/10/26,24,19,8,18,22,12,5,15,8,14,16,9,12,15,10,23,8,15,10,8
2003/11/1,27,19,8,18,25,12,5,15,8,14,16,9,12,16,10,26,11,18,11,11
2003/11/2,27,19,8,18,25,12,8,15,8,17,16,9,12,16,10,26,11,18,11,11
2003/11/3,27,19,8,18,25,12,8,18,8,17,16,9,12,16,10,26,11,18,11,11
2003/11/8,30,20,8,18,25,15,8,21,8,17,17,10,12,16,10,26,12,18,11,14
2003/11/9,30,20,8,18,28,15,11,21,8,17,17,10,12,16,10,29,12,18,11,14
2003/11/10,30,20,11,18,28,15,11,21,8,17,17,10,12,16,10,29,12,18,11,14
2003/11/22,33,20,11,18,31,15,12,22,8,18,17,10,12,19,13,32,15,18,11,15
2003/11/23,33,20,11,18,31,15,12,22,8,18,17,10,15,19,13,32,15,18,11,15
2003/11/24,33,20,11,21,31,15,12,22,8,18,17,10,15,19,13,32,15,18,11,15
2003/11/29,33,20,14,21,31,15,15,22,11,18,17,11,15,20,13,32,18,18,14,15
2003/11/30,34,20,14,22,31,15,15,22,11,21,17,11,15,20,13,35,18,18,14,18
2003/12/6,35,20,17,25,34,16,16,22,12,22,17,11,18,21,13,36,18,18,14,19
2003/12/7,35,20,17,25,34,16,16,22,12,22,20,11,18,21,14,36,18,19,14,19
2003/12/13,35,23,17,25,37,16,16,23,12,22,23,11,18,24,17,36,21,19,14,20
2003/12/14,38,23,17,25,37,16,16,23,15,22,23,11,18,24,17,36,21,19,17,20
2003/12/20,39,23,17,25,37,16,16,24,15,22,23,11,18,25,20,39,22,19,20,20
2003/12/21,39,23,17,25,40,16,16,24,15,22,26,11,18,25,20,39,22,19,20,20
2003/12/22,39,23,17,25,40,16,16,24,16,22,26,11,18,25,20,39,22,20,20,20
2003/12/26,42,26,18,28,43,19,17,27,17,25,26,11,18,26,20,39,22,20,21,21
2003/12/28,42,26,21,28,46,19,18,30,17,26,26,14,18,26,23,42,23,21,24,21
2003/12/29,45,26,21,28,46,19,18,30,17,26,26,14,18,26,23,42,23,21,24,21
2004/1/6,45,26,21,28,46,19,18,30,17,26,26,14,18,26,23,42,23,21,27,21
2004/1/7,46,26,22,28,49,19,19,31,17,29,27,15,21,29,24,42,23,22,27,24
2004/1/10,49,29,22,31,49,22,19,34,17,32,27,15,24,29,24,42,26,22,27,24
2004/1/11,49,29,22,31,50,22,19,34,17,32,27,15,24,30,24,45,26,22,27,24
2004/1/17,49,29,23,31,50,22,20,37,17,32,30,18,27,30,24,45,29,23,27,25
2004/1/18,52,30,23,31,50,22,20,37,17,32,30,18,27,30,24,46,29,23,27,25
2004/1/19,52,30,23,31,50,22,20,37,17,32,30,18,27,33,24,46,29,23,27,25
2004/1/21,52,30,23,31,50,22,20,37,17,33,30,19,27,33,24,46,29,23,27,25
2004/1/31,52,31,23,34,53,23,20,37,17,34,30,20,27,34,25,46,32,23,30,28
2004/2/1,55,31,23,34,53,23,20,37,17,34,30,20,27,34,25,49,32,23,30,28
2004/2/7,58,31,26,35,56,23,20,37,17,35,31,20,30,37,25,49,33,23,33,28
2004/2/8,58,32,26,35,56,23,20,37,17,35,31,20,30,37,25,52,33,24,33,28
2004/2/10,61,32,26,35,56,23,21,37,20,35,31,20,30,37,25,52,34,24,33,28
2004/2/11,61,35,27,35,56,23,21,37,20,38,31,20,33,38,25,55,34,24,36,31
2004/2/21,64,35,27,35,57,23,21,40,21,38,32,23,33,41,26,55,34,27,36,31
2004/2/22,64,36,27,35,57,23,22,40,21,38,32,23,34,41,26,55,34,27,37,31
2004/2/28,67,36,28,36,58,23,23,40,21,38,33,24,34,41,29,58,34,27,37,31
2004/2/29,67,36,28,36,58,24,23,40,22,39,33,24,34,42,29,58,34,27,37,31
2004/3/3,67,39,28,36,58,24,23,40,22,39,33,24,34,42,29,58,34,27,37,31
2004/3/6,67,42,28,36,58,24,23,40,22,39,33,24,34,42,29,58,34,27,37,31
2004/3/9,67,42,28,36,58,24,23,40,22,39,33,24,34,42,29,58,34,27,37,34
2004/3/13,70,42,28,39,58,24,26,43,22,39,33,24,34,42,32,61,34,27,37,34
2004/3/14,70,42,28,39,58,24,26,43,22,39,36,24,37,42,32,61,34,30,40,34
2004/3/17,70,42,28,39,58,24,26,43,22,42,36,24,37,42,32,61,34,30,40,34
2004/3/20,73,42,31,39,61,24,27,43,22,45,36,24,37,45,33,64,34,30,40,37
2004/3/21,73,42,31,39,61,27,27,43,22,45,36,24,37,45,33,64,34,30,40,37
2004/3/22,73,42,31,39,61,27,27,43,25,45,36,24,37,45,33,64,34,30,40,37
2004/3/27,73,45,31,40,61,30,27,43,25,45,39,24,37,45,34,67,34,31,43,38
2004/3/28,74,45,31,40,62,30,28,43,25,46,39,24,37,45,34,67,37,31,43,38
2004/4/3,74,46,31,41,62,30,28,43,25,46,39,24,37,48,34,67,37,31,43,41
2004/4/17,74,46,31,41,62,30,28,43,25,46,39,27,37,48,34,67,37,31,43,41
2004/4/18,74,46,31,41,62,30,28,43,25,46,39,27,37,49,34,67,37,31,44,41
2004/4/20,74,46,31,41,65,30,28,43,25,46,39,27,37,49,34,67,37,31,44,41
2004/4/24,74,46,34,44,65,30,29,43,25,49,39,27,37,49,34,67,40,32,47,41
2004/4/25,75,47,34,44,65,33,29,43,25,49,39,28,38,52,34,67,40,32,47,41
2004/5/1,76,48,37,45,65,34,30,44,25,49,39,31,38,52,34,70,40,35,47,41
2004/5/2,76,48,37,45,65,34,30,44,25,52,39,31,38,52,34,70,43,35,50,41
2004/5/4,77,48,37,45,65,35,30,44,25,52,39,31,38,52,34,70,43,35,50,41
2004/5/8,77,48,37,45,66,35,33,45,26,55,40,31,41,52,34,71,46,35,51,44
