Date,Norwich,Portsmouth,Middlesbrough,Tottenham,Bolton,Blackburn,Aston Villa,Man City,Chelsea,Everton,Southampton,Newcastle,Man United,Liverpool,Crystal Palace,Charlton,Birmingham,Fulham,Arsenal,West Brom
2004/8/14,1,1,1,1,3,1,3,1,0,0,0,1,0,1,1,0,1,1,0,1
2004/8/15,1,1,1,1,3,1,3,1,3,0,0,1,0,1,1,0,1,1,3,1
2004/8/21,1,1,1,4,3,1,3,1,6,3,3,1,3,4,1,3,1,4,3,1
2004/8/22,1,1,1,4,3,1,4,1,6,3,3,1,3,4,1,3,1,4,6,2
2004/8/24,1,1,1,4,3,1,4,1,9,3,3,1,3,4,1,3,4,4,6,2
2004/8/25,2,1,4,5,6,1,4,1,9,3,3,2,3,4,1,6,4,4,9,3
2004/8/28,2,1,7,8,6,2,7,4,12,6,3,2,4,4,1,6,4,4,12,3
2004/8/29,2,1,7,8,9,2,7,4,12,6,3,2,4,4,1,6,4,4,12,3
2004/8/30,2,4,7,8,9,2,7,4,12,7,3,2,5,4,1,6,4,4,12,3
2004/9/11,2,7,10,8,10,2,8,4,13,10,3,5,6,7,1,6,4,4,15,3
2004/9/12,3,7,10,9,10,2,8,4,13,10,3,5,6,7,1,6,4,4,15,3
2004/9/13,3,7,10,9,10,2,8,4,13,10,4,5,6,7,1,7,4,4,15,3
2004/9/18,4,7,10,9,11,5,9,7,13,10,4,5,6,7,1,8,5,5,16,4
2004/9/19,4,7,10,10,11,5,9,7,14,13,4,8,6,7,1,8,5,5,16,4
2004/9/20,4,7,10,10,11,5,9,7,14,13,4,8,9,7,1,8,5,5,16,4
2004/9/25,4,7,10,10,12,5,10,7,17,13,4,11,12,10,2,8,6,8,19,4
2004/9/26,4,7,10,10,12,5,10,7,17,16,4,11,12,10,2,8,6,8,19,4
2004/9/27,4,7,10,10,12,5,10,7,17,16,4,11,12,10,2,11,6,8,19,4
2004/10/2,5,8,10,13,12,6,11,8,17,16,5,11,12,10,2,11,6,8,22,7
2004/10/3,5,8,11,13,12,6,11,8,20,16,5,12,13,10,2,11,7,8,22,7
2004/10/4,5,8,11,13,12,6,11,8,20,16,5,12,13,10,5,11,7,8,22,7
2004/10/16,6,8,14,13,15,6,11,11,20,19,5,12,14,13,5,11,8,8,25,8
2004/10/17,6,8,14,13,15,6,11,11,20,19,5,13,14,13,5,12,8,8,25,8
2004/10/18,6,11,14,13,15,6,11,11,20,19,5,13,14,13,5,12,8,8,25,8
2004/10/23,6,11,14,13,18,6,14,11,23,22,5,13,14,16,8,12,8,8,25,8
2004/10/24,6,12,15,13,18,6,14,11,23,22,6,16,17,16,8,12,9,8,25,8
2004/10/30,6,15,18,13,18,7,15,11,26,23,7,16,17,17,11,12,9,11,26,8
2004/10/31,6,15,18,13,21,7,15,11,26,23,7,16,17,17,11,12,9,11,26,8
2004/11/1,7,15,18,13,21,7,15,12,26,23,7,16,17,17,11,12,9,11,26,8
2004/11/6,8,15,18,13,21,8,18,12,29,23,8,16,17,17,12,15,12,11,27,9
2004/11/7,8,15,19,13,22,8,18,13,29,23,8,16,18,17,12,15,12,14,27,9
2004/11/13,8,15,19,13,22,9,21,14,32,26,11,16,18,20,12,18,12,14,30,9
2004/11/14,8,15,22,13,22,9,21,14,32,26,11,16,21,20,12,18,12,14,30,9
2004/11/20,11,15,25,13,23,9,21,17,33,29,11,19,24,20,12,18,12,14,31,10
2004/11/21,11,15,25,13,23,10,21,17,33,29,11,19,24,20,12,18,13,14,31,10
2004/11/22,11,15,25,13,23,10,24,17,33,29,11,19,24,20,12,18,13,14,31,10
2004/11/27,12,18,25,13,23,13,24,20,36,29,12,19,27,20,13,18,14,14,31,10
2004/11/28,12,18,25,16,23,13,24,20,36,30,12,20,27,23,13,18,14,14,31,10
2004/12/4,12,21,25,19,23,13,25,20,39,33,12,20,30,24,13,18,14,17,34,10
2004/12/5,12,21,25,19,23,13,25,20,39,33,12,20,30,24,13,21,14,17,34,10
