Date,Aston Villa,Sunderland,Portsmouth,West Ham,Man City,Fulham,Everton,Middlesbrough,Arsenal,Wigan,West Brom,Birmingham,Blackburn,Charlton,Liverpool,Man United,Newcastle,Tottenham,Bolton,Chelsea
2005/8/13,1,0,0,3,1,1,0,1,0,0,1,1,0,3,1,3,0,3,1,0
2005/8/14,1,0,0,3,1,1,0,1,3,0,1,1,0,3,1,3,0,3,1,3
2005/8/20,1,0,0,4,4,1,0,1,3,0,4,1,3,6,4,6,1,6,1,3
2005/8/21,1,0,0,4,4,1,3,1,3,0,4,1,3,6,4,6,1,6,1,6
2005/8/23,2,0,1,4,7,1,3,4,3,0,4,1,3,6,4,6,1,6,1,6
2005/8/24,2,0,1,4,7,1,3,4,6,0,4,1,4,6,4,6,1,7,4,9
2005/8/27,5,0,1,4,10,4,3,4,6,3,4,4,4,6,4,6,1,7,7,12
2005/8/28,5,0,1,4,10,4,3,4,6,3,4,4,4,9,4,9,1,7,7,12
2005/9/10,5,0,4,4,11,5,3,7,6,6,4,4,4,12,5,10,2,8,7,15
2005/9/11,5,0,4,4,11,5,3,7,6,6,4,4,5,12,5,10,2,8,8,15
2005/9/12,5,0,4,7,11,5,3,7,6,6,4,4,5,12,5,10,2,8,8,15
2005/9/17,6,1,5,10,11,5,3,7,6,6,5,5,5,12,5,10,2,9,8,18
2005/9/18,6,1,5,10,11,5,3,8,6,7,5,5,5,12,6,11,5,9,11,18
2005/9/19,6,1,5,10,11,5,3,8,9,7,5,5,5,12,6,11,5,9,11,18
2005/9/24,6,1,5,11,11,5,3,8,10,10,5,6,8,15,7,11,8,9,14,21
2005/9/25,6,4,5,11,11,5,3,8,10,10,5,6,8,15,7,11,8,9,14,21
2005/9/26,6,4,5,11,11,5,3,8,10,10,5,6,8,15,7,11,8,12,14,21
2005/10/1,6,5,6,12,11,5,3,8,10,10,5,6,11,15,7,14,9,15,14,21
2005/10/2,6,5,6,12,14,5,3,11,13,13,5,6,11,15,7,14,9,15,14,24
2005/10/15,6,5,7,12,14,5,3,12,13,16,8,6,11,15,10,17,9,18,14,27
2005/10/16,9,5,7,12,17,5,3,12,13,16,8,6,11,15,10,17,9,18,14,27
2005/10/17,9,5,7,12,17,6,3,12,13,16,8,6,11,16,10,17,9,18,14,27
2005/10/22,9,5,7,12,17,9,3,12,16,19,8,6,14,19,10,18,9,19,14,27
2005/10/23,9,5,7,15,17,9,4,12,16,19,8,6,14,19,10,18,12,19,17,28
2005/10/29,9,5,10,15,17,9,7,15,17,22,8,6,14,19,13,18,12,20,20,31
2005/10/30,9,5,10,15,17,9,7,15,17,22,8,6,14,19,13,18,15,20,20,31
2005/10/31,9,5,10,15,20,9,7,15,17,22,8,6,14,19,13,18,15,20,20,31
2005/11/5,9,5,10,18,20,12,7,15,20,25,8,6,17,19,16,18,18,20,20,31
2005/11/6,9,5,10,18,20,12,10,15,20,25,8,6,17,19,16,21,18,20,20,31
2005/11/7,9,5,10,18,20,12,10,15,20,25,8,6,17,19,16,21,18,20,23,31
2005/11/19,12,5,10,18,21,12,10,15,23,25,11,6,18,19,19,24,18,20,23,34
2005/11/20,12,5,10,19,21,12,10,18,23,25,11,6,18,19,19,24,18,21,23,34
2005/11/26,15,5,10,19,21,12,10,18,26,25,11,9,18,19,22,24,18,24,23,37
2005/11/27,15,5,10,19,21,15,13,19,26,25,12,9,18,19,22,27,18,24,23,37
2005/11/30,15,5,10,19,21,15,13,19,26,25,12,9,18,19,25,27,18,24,23,37
2005/12/3,16,5,10,19,21,16,16,19,26,25,13,9,18,19,28,30,19,27,26,40
2005/12/4,16,5,10,19,24,16,16,19,26,25,13,9,18,19,28,30,19,27,26,40
2005/12/5,16,5,10,22,24,16,16,19,26,25,13,9,18,19,28,30,19,27,26,40
2005/12/10,17,5,10,22,24,16,16,19,26,25,16,12,21,22,31,30,22,27,27,43
2005/12/11,17,5,10,22,24,16,17,19,26,25,16,12,21,22,31,31,22,27,27,43
2005/12/12,17,5,10,22,24,16,17,19,26,25,16,12,21,22,31,31,22,30,27,43
2005/12/14,17,5,10,25,24,16,17,19,26,25,16,12,21,22,31,34,22,30,27,43
2005/12/17,17,5,13,25,27,19,17,19,26,28,16,12,21,22,31,37,25,30,30,43
2005/12/18,17,5,13,25,27,19,17,20,26,28,16,12,21,22,31,37,25,31,30,46
2005/12/26,20,6,14,26,27,19,17,20,29,31,16,12,24,22,34,40,25,34,31,49
2005/12/28,21,6,14,26,27,20,17,20,32,34,19,13,24,22,37,41,25,34,31,52
2005/12/31,22,6,17,26,28,20,20,21,33,34,19,13,27,25,40,44,25,37,31,55
2006/1/2,25,6,17,26,28,23,23,22,33,34,19,16,30,25,41,44,26,37,32,58
2006/1/3,25,6,17,26,28,23,23,22,34,34,19,16,30,25,41,45,26,37,32,58
2006/1/4,25,6,17,26,28,23,23,22,34,34,19,16,30,25,41,45,26,40,32,58
2006/1/14,25,6,17,29,31,26,26,22,37,34,19,16,31,28,44,45,26,40,33,58
2006/1/15,25,6,17,29,31,26,26,22,37,34,22,16,31,28,44,45,26,40,33,61
2006/1/21,26,9,17,29,31,26,29,22,37,37,22,19,34,28,44,45,26,41,36,61
2006/1/22,26,9,17,29,31,26,29,22,37,37,22,19,34,29,44,48,26,41,36,62
2006/1/23,26,9,17,32,31,26,29,22,37,37,22,19,34,29,44,48,26,41,36,62
2006/1/31,26,9,17,32,31,29,30,25,37,38,23,19,34,30,44,48,26,41,36,62
2006/2/1,27,9,18,35,34,29,30,25,37,38,23,20,37,30,45,48,26,41,37,63
2006/2/4,30,9,18,38,34,29,33,25,40,39,26,20,37,30,45,51,29,41,38,63
