Date,West Ham,Sheffield United,Reading,Everton,Newcastle,Bolton,Arsenal,Portsmouth,Chelsea,Man United,Tottenham,Watford,Middlesbrough,Man City,Blackburn,Charlton,Aston Villa,Fulham,Wigan,Liverpool
2006/8/19,3,1,3,3,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,1
2006/8/20,3,1,3,3,3,3,1,3,3,3,0,0,0,0,0,0,1,0,0,1
2006/8/22,4,1,3,3,3,3,1,3,3,3,3,1,0,0,0,0,1,0,0,1
2006/8/23,4,1,3,4,3,4,1,4,3,6,3,1,3,1,1,0,4,1,0,1
2006/8/26,4,1,3,7,3,4,1,4,3,9,3,1,3,4,1,3,4,4,3,4
2006/8/27,4,1,3,7,3,4,1,4,6,9,3,1,3,4,1,3,7,4,3,4
2006/8/28,4,1,3,7,3,4,1,7,6,9,3,1,3,4,1,3,7,4,3,4
2006/9/9,4,2,3,10,3,7,2,10,9,12,3,1,4,4,2,3,7,7,3,4
2006/9/10,5,2,3,10,3,7,2,10,9,12,3,1,4,4,2,3,8,7,3,4
2006/9/11,5,2,6,10,3,7,2,10,9,12,3,1,4,4,2,3,8,7,3,4
2006/9/16,5,2,9,11,3,8,2,13,9,12,3,2,5,4,2,3,9,7,4,4
2006/9/17,5,2,9,11,6,8,5,13,12,12,4,2,5,4,5,3,9,8,4,4
2006/9/20,5,2,9,11,6,8,5,13,12,12,4,2,5,4,5,3,9,8,4,7
2006/9/23,5,2,10,11,6,8,8,13,15,13,4,3,5,7,8,3,12,8,5,10
2006/9/24,5,2,10,12,7,8,8,13,15,13,4,3,5,7,8,3,12,8,5,10
2006/9/25,5,2,10,12,7,11,8,13,15,13,4,3,5,7,8,3,12,8,5,10
2006/9/30,5,5,10,13,7,14,11,13,16,13,4,3,5,8,8,3,13,8,5,10
2006/10/1,5,5,13,13,7,14,11,13,16,16,7,3,5,8,11,3,13,8,5,10
2006/10/2,5,5,13,13,7,14,11,13,16,16,7,4,5,8,11,3,13,9,5,10
2006/10/14,5,6,13,13,7,14,14,16,19,19,8,4,8,9,12,3,14,9,5,11
2006/10/15,5,6,13,13,7,17,14,16,19,19,8,4,8,9,12,3,14,9,5,11
2006/10/16,5,6,13,13,7,17,14,16,19,19,8,4,8,9,12,3,14,12,5,11
2006/10/21,5,6,13,16,7,17,14,16,22,19,8,5,8,9,12,4,15,13,8,11
2006/10/22,5,6,13,16,7,20,17,16,22,22,11,5,11,9,12,4,15,13,8,11
2006/10/28,5,6,13,17,8,20,18,19,25,25,12,6,11,9,12,5,15,13,11,14
2006/10/29,8,6,13,17,8,20,18,19,25,25,12,6,11,9,12,5,15,13,11,14
2006/10/30,8,6,13,17,8,20,18,19,25,25,12,6,11,12,12,5,15,13,11,14
2006/11/4,8,9,13,17,8,20,18,19,25,28,12,9,11,12,12,8,15,16,14,17
2006/11/5,11,9,13,17,8,20,18,19,25,28,15,9,11,12,12,8,18,16,14,17
2006/11/11,11,10,13,17,9,21,18,20,28,31,15,9,14,13,12,8,21,17,17,17
2006/11/12,11,10,16,17,9,21,21,20,28,31,15,9,14,13,12,8,21,17,17,17
2006/11/18,11,10,19,20,10,21,22,23,31,34,15,9,15,16,12,8,21,17,17,18
2006/11/19,11,10,19,20,10,21,22,23,31,34,16,9,15,16,13,8,22,17,18,18
2006/11/25,14,10,22,21,10,24,22,23,31,34,16,9,16,16,13,9,23,17,18,21
2006/11/26,14,10,22,21,13,24,22,23,32,35,19,9,16,16,13,9,23,17,18,21
2006/11/28,14,13,22,21,13,24,22,23,32,35,19,9,16,16,13,9,23,17,18,21
2006/11/29,14,13,22,21,13,24,22,24,35,38,19,9,16,19,13,9,23,20,18,22
2006/12/2,14,16,25,21,13,24,25,25,35,41,19,9,16,19,16,9,24,20,18,25
2006/12/3,14,16,25,24,13,24,25,25,35,41,19,9,16,19,16,9,24,20,18,25
2006/12/4,14,16,25,24,13,24,25,25,35,41,19,10,16,20,16,9,24,20,18,25
2006/12/5,14,16,25,24,13,24,25,25,35,41,22,10,16,20,16,12,24,20,18,25
2006/12/6,14,16,25,24,16,24,25,25,35,41,22,10,16,20,16,12,24,20,21,25
2006/12/9,14,16,26,24,19,27,25,28,35,44,25,11,17,20,16,12,24,20,22,28
2006/12/10,14,16,26,24,19,27,26,28,36,44,25,11,17,20,16,12,24,20,22,28
2006/12/11,14,17,26,24,19,27,26,28,36,44,25,11,17,20,16,12,25,20,22,28
2006/12/13,14,17,26,24,19,27,29,28,39,44,25,11,17,20,16,12,25,20,22,28
2006/12/16,14,20,26,24,22,30,30,29,39,44,25,11,17,20,19,12,25,20,22,31
2006/12/17,17,20,26,24,22,30,30,29,42,44,28,11,17,20,19,12,25,20,22,31
2006/12/18,17,20,26,24,22,30,30,29,42,44,28,11,17,20,19,12,25,23,22,31
2006/12/23,18,20,26,27,25,33,33,32,45,47,28,11,20,20,19,12,25,24,22,34
2006/12/26,18,20,27,28,25,36,36,35,46,50,31,11,21,23,22,12,25,24,22,34
2006/12/27,18,20,27,28,25,36,36,35,46,50,31,11,21,23,22,13,25,25,22,34
2006/12/30,18,23,27,31,25,39,36,35,47,53,31,11,21,26,25,16,25,26,22,37
2007/1/1,18,23,30,31,26,39,36,36,47,54,32,12,24,29,28,16,25,27,22,40
2007/1/2,18,23,30,31,26,39,39,36,48,54,32,12,24,29,28,16,26,27,22,40
2007/1/13,19,24,30,31,26,40,42,37,51,57,32,12,27,30,28,16,26,28,22,43
2007/1/14,19,24,31,32,29,40,42,37,51,57,32,12,27,30,28,16,26,28,22,43
2007/1/20,20,24,34,32,30,40,42,37,51,57,33,12,30,30,31,19,29,29,22,46
2007/1/21,20,24,34,35,30,40,45,37,51,57,33,12,30,30,31,19,29,29,22,46
2007/1/23,20,24,34,35,30,40,45,37,51,57,33,15,30,30,31,19,29,29,22,46
2007/1/30,20,27,37,35,30,40,45,38,51,57,33,15,31,30,31,19,29,29,22,49
2007/1/31,20,27,37,35,33,41,45,38,54,60,33,15,31,30,31,20,29,29,22,49
