Date,Derby,Everton,Sunderland,Middlesbrough,West Ham,Aston Villa,Bolton,Arsenal,Man United,Chelsea,Tottenham,Birmingham,Fulham,Man City,Portsmouth,Wigan,Reading,Newcastle,Blackburn,Liverpool
2007/8/11,1,3,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,3,3
2007/8/12,1,3,3,0,0,0,0,3,1,3,0,0,0,3,1,0,1,3,3,3
2007/8/14,1,6,3,0,0,0,0,3,1,3,0,0,0,3,1,0,1,3,3,3
2007/8/15,1,6,4,0,0,0,0,3,2,6,0,1,3,6,2,3,1,3,3,3
2007/8/18,1,6,4,3,3,1,0,3,2,6,3,1,3,6,5,6,4,4,3,3
2007/8/19,1,6,4,3,3,1,0,4,2,7,3,1,3,9,5,6,4,4,4,4
2007/8/25,1,7,4,3,4,4,3,7,2,10,3,4,3,9,5,7,4,4,5,7
2007/8/26,1,7,4,4,4,4,3,7,5,10,3,4,3,9,5,7,4,5,5,7
2007/9/1,1,10,4,7,7,4,3,7,8,10,4,4,4,9,5,7,4,8,5,10
2007/9/2,1,10,4,7,7,7,3,10,8,10,4,4,4,9,5,7,4,8,8,10
2007/9/15,1,10,7,7,10,7,3,13,11,11,4,7,5,9,6,8,4,8,9,11
2007/9/16,1,10,7,7,10,7,3,13,11,11,4,7,5,12,6,8,4,8,9,11
2007/9/17,4,10,7,7,10,7,3,13,11,11,4,7,5,12,6,8,4,8,9,11
2007/9/22,4,10,8,8,10,7,3,16,11,11,4,8,6,13,6,8,7,8,9,12
2007/9/23,4,10,8,8,10,10,4,16,14,11,5,8,6,13,9,8,7,11,9,12
2007/9/29,5,10,8,8,10,10,5,19,17,12,5,8,7,16,12,8,7,11,12,15
2007/9/30,5,13,8,8,10,10,5,19,17,12,5,8,7,16,12,8,7,11,12,15
2007/10/1,5,13,8,8,10,11,5,19,17,12,6,8,7,16,12,8,7,11,12,15
2007/10/6,5,13,8,8,10,14,5,19,20,12,6,8,7,16,12,8,7,11,12,15
2007/10/7,5,13,8,8,10,14,5,22,20,15,7,8,7,19,15,8,10,14,15,16
2007/10/20,6,13,8,8,10,14,5,25,23,18,7,8,8,22,18,8,10,14,18,19
2007/10/21,6,13,8,8,13,14,5,25,23,18,7,8,8,22,18,8,10,14,18,19
2007/10/22,6,13,8,8,13,14,5,25,23,18,7,8,8,22,18,8,10,17,18,19
2007/10/27,6,13,9,8,14,14,5,25,26,21,7,11,9,22,19,8,13,17,18,19
2007/10/28,6,16,9,8,14,15,6,26,26,21,7,11,9,22,19,8,13,17,21,20
2007/11/3,6,19,9,9,14,18,6,27,27,24,8,11,12,22,22,8,13,17,22,21
2007/11/4,6,19,9,9,15,18,7,27,27,24,8,11,12,22,22,8,13,17,22,21
2007/11/5,6,19,9,9,15,18,7,27,27,24,8,11,12,25,22,8,13,17,22,21
2007/11/10,6,19,10,9,18,18,7,27,27,24,8,11,12,25,22,8,13,18,22,24
2007/11/11,6,20,10,10,18,21,8,27,30,25,11,11,12,26,23,8,13,18,22,24
2007/11/12,6,20,10,10,18,21,8,30,30,25,11,11,12,26,23,8,13,18,22,24
2007/11/24,6,23,10,10,18,24,11,33,30,28,11,11,12,29,26,8,13,18,22,27
2007/11/25,6,23,10,10,19,24,11,33,30,28,12,11,13,29,26,8,13,18,23,27
2007/11/28,6,23,10,10,19,27,11,33,30,28,12,11,13,29,26,8,13,18,23,27
2007/12/1,6,24,13,11,19,27,11,36,30,31,12,11,13,30,27,9,14,18,26,27
2007/12/2,6,24,13,11,19,27,11,36,30,31,12,14,13,30,27,9,14,18,26,30
2007/12/3,6,24,13,11,19,27,11,36,33,31,12,14,13,30,27,9,14,18,26,30
2007/12/5,6,24,13,11,19,27,11,37,33,31,12,14,13,30,27,9,14,19,26,30
2007/12/8,6,27,13,11,19,27,11,37,36,34,12,14,13,30,30,9,17,22,26,30
2007/12/9,6,27,13,14,22,27,14,37,36,34,15,14,13,30,30,9,17,22,26,30
2007/12/15,6,30,14,17,22,28,14,37,36,34,18,15,13,33,30,12,18,25,26,30
2007/12/16,6,30,14,17,22,28,14,40,39,34,18,15,13,33,30,12,18,25,26,30
2007/12/22,6,30,14,17,25,29,17,43,39,34,18,15,14,34,30,13,21,25,26,33
2007/12/23,7,30,14,17,25,29,17,43,42,37,18,15,14,34,30,13,21,26,26,33
2007/12/26,7,33,14,17,26,30,17,44,45,38,21,18,14,34,31,16,22,26,26,36
2007/12/27,7,33,14,17,26,30,17,44,45,38,21,18,14,35,31,16,22,26,27,36
2007/12/29,7,33,17,20,29,33,17,47,45,41,24,19,15,35,31,16,22,26,27,36
2007/12/30,7,33,17,20,29,33,17,47,45,41,24,19,15,36,31,16,22,26,30,37
2008/1/1,7,36,17,20,29,36,17,50,48,44,24,19,15,36,34,16,22,26,30,37
2008/1/2,7,36,17,20,29,36,20,50,48,44,24,19,15,39,34,17,22,26,33,38
2008/1/12,7,39,17,21,32,39,20,51,51,47,24,20,15,39,34,20,22,26,33,39
2008/1/13,7,39,20,21,32,39,20,51,51,47,24,20,15,39,34,20,22,26,36,39
2008/1/19,7,39,20,22,32,39,21,54,54,50,27,20,15,39,37,20,22,27,37,39
2008/1/20,7,42,20,22,33,39,21,54,54,50,27,20,15,40,37,20,22,27,37,39
2008/1/21,7,42,20,22,33,40,21,54,54,50,27,20,15,40,37,20,22,27,37,40
2008/1/26,7,42,20,22,33,41,21,54,54,50,27,20,15,40,37,20,22,27,38,40
2008/1/29,7,42,23,25,33,41,22,57,54,50,27,20,16,40,37,20,22,27,38,40
2008/1/30,8,43,23,25,36,41,22,57,57,53,28,20,16,41,37,20,22,27,38,40
2008/2/2,9,44,23,25,36,41,25,60,58,54,29,21,16,41,38,23,22,27,39,43
2008/2/3,9,44,23,26,36,41,25,60,58,54,29,21,19,41,38,23,22,28,39,43
2008/2/9,9,47,26,29,37,44,25,60,58,54,32,22,19,41,41,23,22,28,39,43
2008/2/10,9,47,26,29,37,44,25,60,58,55,32,22,19,44,41,23,22,28,39,44
2008/2/11,9,47,26,29,37,44,25,63,58,55,32,22,19,44,41,23,22,28,39,44
2008/2/23,9,47,26,29,40,44,25,64,61,55,32,23,19,44,44,26,22,28,39,47
2008/2/24,9,47,26,29,40,47,25,64,61,55,32,23,19,44,44,26,22,28,42,47
2008/2/25,9,50,26,29,40,47,25,64,61,55,32,23,19,44,44,26,22,28,42,47
2008/3/1,10,50,27,29,40,48,25,65,64,58,32,26,19,45,44,27,25,28,45,47
2008/3/2,10,53,27,29,40,48,25,65,64,58,32,26,19,45,44,27,25,28,45,50
2008/3/5,10,53,27,29,40,48,25,65,64,58,32,26,19,45,44,27,25,28,45,53
2008/3/8,10,53,27,29,40,48,25,65,64,58,32,26,20,45,44,27,28,28,46,56
2008/3/9,10,56,27,29,40,48,25,66,64,58,35,26,20,45,44,28,28,28,46,56
2008/3/12,10,56,27,30,40,49,25,66,64,61,35,26,20,45,47,28,28,28,46,56
2008/3/15,10,56,27,31,43,49,25,67,67,64,35,26,20,45,50,28,28,28,46,59
2008/3/16,10,56,27,31,43,49,25,67,67,64,35,26,23,48,50,31,28,28,46,59
2008/3/17,10,56,27,31,43,49,25,67,67,64,35,27,23,48,50,31,28,29,46,59
2008/3/19,10,56,27,31,43,49,25,67,70,65,36,27,23,48,50,31,28,29,46,59
2008/3/22,10,57,30,34,44,49,26,67,70,65,39,27,23,49,50,31,31,32,49,59
2008/3/23,10,57,30,34,44,49,26,67,73,68,39,27,23,49,50,31,31,32,49,59
2008/3/29,11,57,33,34,44,49,26,70,76,68,39,30,24,49,53,31,32,32,50,59
2008/3/30,11,57,33,34,44,49,26,70,76,71,39,30,24,49,53,31,32,35,50,62
2008/4/5,11,57,36,34,44,52,26,71,76,74,40,30,24,49,53,34,32,38,51,63
2008/4/6,11,60,36,35,44,52,26,71,77,74,40,30,24,49,53,34,32,38,51,63
2008/4/8,11,60,36,35,44,52,26,71,77,74,40,30,24,49,56,34,32,38,51,63
2008/4/12,11,61,36,36,44,55,29,71,77,74,41,31,27,52,57,34,32,39,51,63
2008/4/13,11,61,36,36,44,55,29,71,80,74,41,31,27,52,57,34,32,39,51,66
2008/4/14,11,61,36,36,44,55,29,71,80,75,41,31,27,52,57,35,32,39,51,66
2008/4/17,11,61,36,36,44,55,29,71,80,78,41,31,27,52,57,35,32,39,51,66
2008/4/19,11,61,36,36,47,55,32,74,81,78,42,31,27,52,57,36,32,39,52,69
2008/4/20,11,61,36,36,47,58,32,74,81,78,42,31,27,55,57,36,32,42,52,69
2008/4/26,11,61,39,36,48,58,33,74,81,81,43,32,30,55,57,37,33,43,52,70
2008/4/27,11,62,39,36,48,59,33,74,81,81,43,32,30,55,57,37,33,43,55,70
2008/4/28,11,62,39,36,48,59,33,77,81,81,43,32,30,55,57,37,33,43,55,70
2008/5/3,11,62,39,39,48,59,36,77,84,81,46,32,33,55,57,40,33,43,58,70
2008/5/4,11,62,39,39,48,59,36,80,84,81,46,32,33,55,57,40,33,43,58,73
2008/5/5,11,62,39,39,48,59,36,80,84,84,46,32,33,55,57,40,33,43,58,73
2008/5/11,11,65,39,42,49,60,37,83,87,85,46,35,36,55,57,40,36,43,58,76
