Date,Arsenal,Bolton,Everton,Hull,Middlesbrough,Sunderland,West Ham,Aston Villa,Chelsea,Man United,West Brom,Liverpool,Newcastle,Blackburn,Stoke,Fulham,Tottenham,Wigan,Man City,Portsmouth
2008/8/16,3,3,0,3,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0
2008/8/17,3,3,0,3,3,0,3,3,3,1,0,3,1,3,0,0,0,0,0,0
2008/8/23,3,3,3,4,3,3,3,3,3,1,0,6,4,4,3,3,0,0,0,0
2008/8/24,3,3,3,4,3,3,3,3,6,1,0,6,4,4,3,3,0,0,3,0
2008/8/25,3,3,3,4,3,3,3,3,6,4,0,6,4,4,3,3,0,0,3,0
2008/8/30,6,4,3,4,6,3,6,3,6,4,1,6,4,4,3,3,0,3,3,3
2008/8/31,6,4,3,4,6,3,6,4,7,4,1,7,4,4,3,3,1,3,6,3
2008/9/13,9,4,3,7,6,4,6,4,10,4,4,10,4,4,3,6,1,4,6,6
2008/9/14,9,4,6,7,6,4,6,4,10,4,4,10,4,4,3,6,1,4,6,6
2008/9/15,9,4,6,7,6,4,6,7,10,4,4,10,4,4,3,6,1,4,6,6
2008/9/20,12,4,6,7,6,7,9,7,10,4,4,11,4,7,4,6,1,4,6,6
2008/9/21,12,4,7,8,6,7,9,10,11,5,4,11,4,7,4,6,2,5,9,6
2008/9/27,12,4,7,11,6,7,12,13,14,8,7,14,4,10,4,6,2,5,9,6
2008/9/28,12,4,7,11,6,7,12,13,14,8,7,14,4,10,4,6,2,8,9,9
2008/10/4,13,4,7,11,9,8,12,13,14,11,10,14,4,10,4,6,2,8,9,9
2008/10/5,13,7,8,14,9,8,12,13,17,11,10,17,5,10,4,6,2,8,9,12
2008/10/18,16,8,8,14,9,9,12,14,20,14,10,20,5,11,4,7,2,8,9,13
2008/10/19,16,8,8,17,9,9,12,14,20,14,10,20,5,11,7,7,2,8,9,13
2008/10/20,16,8,8,17,9,9,12,14,20,14,10,20,6,11,7,7,2,8,10,13
2008/10/25,16,8,9,20,10,12,12,14,20,15,10,20,6,12,7,7,2,8,10,13
2008/10/26,19,8,9,20,10,12,12,17,20,15,10,23,6,12,7,8,5,8,13,14
2008/10/28,19,8,9,20,10,12,12,17,20,15,10,23,9,12,7,8,5,8,13,14
2008/10/29,20,8,12,20,13,12,12,20,23,18,10,26,9,12,10,11,6,8,13,14
2008/11/1,20,8,15,20,14,12,13,20,26,21,11,26,9,13,13,11,9,11,13,14
