Date,Wolves,Stoke,Portsmouth,Everton,Bolton,Blackburn,Aston Villa,Chelsea,Man United,Tottenham,Sunderland,Wigan,Birmingham,Burnley,Hull,Liverpool,Man City,Arsenal,Fulham,West Ham
2009/8/15,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,3,3,3,3
2009/8/16,0,3,0,0,0,0,0,3,3,3,3,3,0,0,0,0,3,3,3,3
2009/8/18,3,3,0,0,0,0,0,6,3,3,3,3,0,0,0,0,3,3,3,3
2009/8/19,3,3,0,0,0,0,0,6,3,6,3,3,3,3,0,3,3,3,3,3
2009/8/22,3,4,0,0,0,0,0,6,6,6,6,3,4,3,3,3,6,6,3,3
2009/8/23,3,4,0,0,0,0,0,9,6,9,6,3,4,6,3,3,6,6,3,3
2009/8/24,3,4,0,0,0,0,3,9,6,9,6,3,4,6,3,3,6,6,3,3
2009/8/29,4,7,0,0,0,1,3,12,9,12,6,3,4,6,4,6,6,6,3,4
2009/8/30,4,7,0,3,0,1,6,12,9,12,6,3,4,6,4,6,9,6,3,4
2009/9/12,4,7,0,3,3,4,6,15,12,12,9,6,4,6,4,9,12,6,3,4
2009/9/13,4,7,0,3,3,4,9,15,12,12,9,6,4,6,4,9,12,6,6,4
2009/9/19,4,8,0,3,4,4,12,15,12,12,9,6,7,9,4,12,12,9,6,4
2009/9/20,7,8,0,6,4,4,12,18,15,12,9,6,7,9,4,12,12,9,6,4
2009/9/26,7,8,0,9,7,7,12,18,18,15,9,9,7,9,4,15,12,12,6,4
2009/9/27,7,8,0,9,7,7,12,18,18,15,12,9,7,9,4,15,12,12,6,4
2009/9/28,7,8,0,9,7,7,12,18,18,15,12,9,7,9,4,15,15,12,6,4
2009/10/3,7,8,3,9,8,7,12,18,19,16,13,9,7,12,7,15,15,12,6,4
2009/10/4,7,9,3,10,8,7,12,21,19,16,13,9,7,12,7,15,15,15,7,5
2009/10/5,7,9,3,10,8,7,13,21,19,16,13,9,7,12,7,15,16,15,7,5
2009/10/17,8,12,3,11,8,7,16,21,22,19,16,9,7,12,7,15,16,18,7,5
2009/10/18,8,12,3,11,8,10,16,21,22,19,16,10,7,12,7,15,17,18,7,5
2009/10/19,8,12,3,11,8,10,16,21,22,19,16,10,7,12,7,15,17,18,10,5
2009/10/24,9,15,4,11,8,10,17,24,22,19,16,13,10,12,8,15,17,18,10,5
2009/10/25,9,15,4,11,11,10,17,24,22,19,16,13,10,12,8,18,18,19,11,6
2009/10/31,10,16,7,12,11,10,18,27,25,19,17,13,10,15,8,18,18,22,14,7
2009/11/1,10,16,7,12,11,10,18,27,25,19,17,13,11,15,8,18,19,22,14,7
2009/11/4,10,16,7,12,11,10,18,27,25,19,17,13,11,15,8,18,19,22,14,10
2009/11/7,10,16,7,12,11,13,21,27,25,22,17,13,11,16,8,18,20,25,14,10
2009/11/8,10,16,7,15,11,13,21,30,25,22,17,14,11,16,11,18,20,25,15,10
