Date,Wolves,Wigan,Tottenham,Sunderland,Bolton,Blackburn,Aston Villa,Chelsea,Liverpool,Man United,West Ham,West Brom,Everton,Birmingham,Arsenal,Stoke,Fulham,Newcastle,Man City,Blackpool
2010/8/14,3,0,1,1,1,3,3,3,0,0,0,0,0,1,0,0,1,0,1,3
2010/8/15,3,0,1,1,1,3,3,3,1,0,0,0,0,1,1,0,1,0,1,3
2010/8/16,3,0,1,1,1,3,3,3,1,3,0,0,0,1,1,0,1,0,1,3
2010/8/21,4,0,4,1,4,3,3,6,1,3,0,3,1,4,4,0,1,0,1,3
2010/8/22,4,0,4,1,4,3,3,6,1,4,0,3,1,4,4,0,2,3,1,3
2010/8/23,4,0,4,1,4,3,3,6,1,4,0,3,1,4,4,0,2,3,4,3
2010/8/28,5,3,4,1,4,3,3,9,1,7,0,3,1,4,7,0,3,4,4,4
2010/8/29,5,3,4,4,5,3,6,9,4,7,0,3,1,5,7,0,3,4,4,4
2010/9/11,5,4,5,5,5,4,6,12,4,8,0,4,2,5,10,0,6,4,5,7
2010/9/12,5,4,5,5,5,4,6,12,5,8,0,4,2,6,10,0,6,4,5,7
2010/9/13,5,4,5,5,5,4,6,12,5,8,0,4,2,6,10,3,6,4,5,7
2010/9/18,5,4,8,6,6,5,7,12,5,8,1,7,2,6,11,4,7,7,5,7
2010/9/19,5,4,8,6,6,5,7,15,5,11,1,7,2,6,11,4,7,7,8,7
2010/9/25,5,5,8,7,6,8,7,15,6,11,4,10,3,7,11,4,8,7,11,7
2010/9/26,5,5,8,7,7,8,10,15,6,12,4,10,3,7,11,7,8,7,11,7
2010/10/2,5,8,11,8,8,8,10,15,6,13,5,11,6,7,11,10,9,7,11,7
2010/10/3,5,8,11,8,8,8,10,18,6,13,5,11,6,7,11,10,9,7,14,10
2010/10/16,6,9,14,8,11,8,11,19,6,14,6,12,6,7,14,10,9,8,14,10
2010/10/17,6,9,14,8,11,8,11,19,6,14,6,12,9,7,14,10,9,8,17,10
2010/10/18,6,9,14,9,11,9,11,19,6,14,6,12,9,7,14,10,9,8,17,10
2010/10/23,6,10,15,12,12,9,11,22,6,14,6,15,10,10,14,10,9,11,17,10
2010/10/24,6,10,15,12,12,9,11,22,9,17,6,15,10,10,17,10,9,11,17,10
2010/10/30,9,10,15,12,12,9,11,25,9,20,6,15,13,10,20,10,12,11,17,10
2010/10/31,9,10,15,12,12,9,12,25,12,20,6,15,13,11,20,10,12,14,17,10
2010/11/1,9,10,15,12,12,9,12,25,12,20,6,15,13,11,20,10,12,14,17,13
2010/11/6,9,10,15,15,15,12,13,25,12,23,7,15,14,12,20,10,13,14,17,14
2010/11/7,9,10,15,15,15,12,13,25,15,23,7,15,14,12,20,10,13,17,20,14
2010/11/9,9,10,16,16,15,12,13,25,15,23,7,15,14,12,20,13,13,17,20,14
2010/11/10,9,11,16,16,16,15,16,28,16,24,8,16,15,12,23,13,13,17,21,14
2010/11/13,9,14,19,16,19,15,17,28,16,25,9,16,15,13,23,16,14,18,22,15
