Date,Blackburn,Fulham,Liverpool,Newcastle,QPR,Wigan,West Brom,Stoke,Man City,Arsenal,Aston Villa,Chelsea,Everton,Sunderland,Swansea,Bolton,Norwich,Wolves,Man United,Tottenham
2011/8/13,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,3,1,3,0,0
2011/8/14,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,3,1,3,3,0
2011/8/15,0,1,1,1,0,1,0,1,3,1,1,1,0,1,0,3,1,3,3,0
2011/8/20,0,1,4,4,3,2,0,1,3,1,4,4,0,1,1,3,1,3,3,0
2011/8/21,0,1,4,4,3,2,0,2,6,1,4,4,0,1,1,3,2,6,3,0
2011/8/22,0,1,4,4,3,2,0,2,6,1,4,4,0,1,1,3,2,6,6,0
2011/8/27,0,1,7,4,3,5,0,2,6,1,5,7,3,2,2,3,2,7,6,0
2011/8/28,0,1,7,7,3,5,0,5,9,1,5,7,3,2,2,3,2,7,9,0
2011/9/10,0,1,7,7,3,5,0,8,12,4,6,10,4,2,2,3,2,7,12,3
2011/9/11,1,2,7,7,3,5,3,8,12,4,6,10,4,2,2,3,2,7,12,3
2011/9/12,1,2,7,8,4,5,3,8,12,4,6,10,4,2,2,3,2,7,12,3
2011/9/17,4,2,7,9,7,5,3,8,12,4,7,10,7,2,5,3,5,7,12,3
2011/9/18,4,3,7,9,7,5,3,8,13,4,7,10,7,5,5,3,5,7,15,6
2011/9/24,4,4,10,12,7,5,4,9,16,7,7,13,7,5,5,3,5,7,16,9
2011/9/25,4,4,10,12,8,5,4,9,16,7,8,13,7,5,5,3,5,7,16,9
2011/9/26,4,4,10,12,8,5,4,9,16,7,8,13,7,5,5,3,8,7,16,9
2011/10/1,4,4,13,15,8,5,5,9,19,7,11,13,7,6,5,3,8,7,19,9
2011/10/2,4,7,13,15,8,5,5,9,19,7,11,16,7,6,8,3,8,7,19,12
2011/10/15,5,7,14,15,9,5,5,12,22,7,11,19,7,6,8,6,11,7,20,12
2011/10/16,5,7,14,16,9,5,8,12,22,10,11,19,7,6,8,6,11,7,20,13
2011/10/22,5,7,15,19,9,5,11,12,22,10,11,19,7,9,9,6,12,8,20,13
2011/10/23,5,7,15,19,12,5,11,12,25,13,11,19,10,9,9,6,12,8,20,16
2011/10/29,6,10,18,19,12,5,11,12,28,16,12,19,10,10,12,6,13,8,23,16
2011/10/30,6,10,18,19,12,5,11,12,28,16,12,19,10,10,12,6,13,8,23,19
2011/10/31,6,10,18,22,12,5,11,12,28,16,12,19,10,10,12,6,13,8,23,19
2011/11/5,6,10,19,25,12,5,11,12,31,19,15,22,10,10,13,6,13,8,26,19
2011/11/6,6,10,19,25,12,5,11,12,31,19,15,22,10,10,13,9,13,11,26,22
2011/11/19,7,11,19,25,15,6,14,12,34,22,15,22,13,11,13,9,13,11,29,22
2011/11/20,7,11,22,25,15,6,14,12,34,22,15,22,13,11,13,9,13,11,29,22
2011/11/21,7,11,22,25,15,6,14,12,34,22,15,22,13,11,13,9,13,11,29,25
2011/11/26,7,12,22,26,15,9,14,15,34,23,15,25,16,11,13,9,16,11,30,28
