Date,Arsenal,Fulham,Newcastle,QPR,Reading,West Brom,West Ham,Wigan,Man City,Everton,Chelsea,Aston Villa,Man United,Norwich,Southampton,Swansea,Tottenham,Stoke,Liverpool,Sunderland
2012/8/18,1,3,3,0,1,3,3,0,0,0,0,0,0,0,0,3,0,1,0,1
2012/8/19,1,3,3,0,1,3,3,0,3,0,3,0,0,0,0,3,0,1,0,1
2012/8/20,1,3,3,0,1,3,3,0,3,3,3,0,0,0,0,3,0,1,0,1
2012/8/22,1,3,3,0,1,3,3,0,3,3,6,0,0,0,0,3,0,1,0,1
2012/8/25,1,3,3,1,1,4,3,3,3,6,9,0,3,1,0,6,1,1,0,1
2012/8/26,2,3,3,1,1,4,3,3,4,6,9,0,3,1,0,6,1,2,1,1
2012/9/1,2,3,3,1,1,7,6,4,7,6,9,0,3,2,0,7,2,3,1,2
2012/9/2,5,3,4,1,1,7,6,4,7,6,9,1,6,2,0,7,2,3,1,2
2012/9/15,8,6,4,2,1,7,7,4,8,6,10,4,9,3,0,7,2,4,2,3
2012/9/16,8,6,4,2,1,7,7,4,8,6,10,4,9,3,0,7,5,4,2,3
2012/9/17,8,6,5,2,1,7,7,4,8,7,10,4,9,3,0,7,5,4,2,3
2012/9/22,8,9,5,2,1,10,8,4,8,10,13,4,9,3,3,7,5,4,2,4
2012/9/23,9,9,8,2,1,10,8,4,9,10,13,4,12,3,3,7,8,4,2,4
2012/9/29,9,9,9,2,2,10,8,4,12,13,16,4,12,3,3,7,11,7,5,7
2012/9/30,9,9,9,2,2,11,8,4,12,13,16,5,12,3,3,7,11,7,5,7
2012/10/1,9,9,9,2,2,11,11,4,12,13,16,5,12,3,3,7,11,7,5,7
2012/10/6,12,9,9,2,3,14,11,5,15,14,19,5,12,3,3,8,11,7,5,7
2012/10/7,12,10,9,2,3,14,11,5,15,14,19,5,15,3,4,8,14,8,6,7
2012/10/20,12,13,9,2,3,14,14,5,18,14,22,5,18,6,4,11,14,8,9,7
2012/10/21,12,13,10,3,3,14,14,5,18,15,22,5,18,6,4,11,14,8,9,8
2012/10/27,15,14,10,3,4,14,14,8,21,15,22,6,18,7,4,11,14,9,9,9
2012/10/28,15,14,13,3,4,14,14,8,21,16,22,6,21,7,4,11,17,9,10,9
2012/11/3,15,15,13,3,4,14,15,11,22,17,23,9,24,10,4,12,17,9,10,9
2012/11/4,15,15,14,4,5,14,15,11,22,17,23,9,24,10,4,12,17,9,11,9
2012/11/5,15,15,14,4,5,17,15,11,22,17,23,9,24,10,4,12,17,9,11,9
2012/11/10,16,16,14,4,6,20,15,11,22,20,23,9,27,11,5,13,17,12,11,9
2012/11/11,16,16,14,4,6,20,18,11,25,20,24,9,27,11,5,13,17,12,12,9
2012/11/17,19,16,14,4,9,23,18,11,28,20,24,9,27,14,8,16,17,12,15,9
2012/11/18,19,16,14,4,9,23,18,11,28,20,24,9,27,14,8,16,17,12,15,12
2012/11/19,19,16,14,4,9,23,19,11,28,20,24,9,27,14,8,16,17,13,15,12
2012/11/24,20,16,14,4,9,26,19,14,28,21,24,10,30,15,8,16,17,16,15,12
2012/11/25,20,16,14,4,9,26,19,14,29,21,25,10,30,15,11,17,20,16,16,12
2012/11/27,20,16,14,5,9,26,19,14,29,21,25,13,30,15,11,17,20,16,16,13
2012/11/28,21,17,14,5,9,26,19,14,32,22,26,13,33,16,12,20,23,19,16,13
2012/12/1,21,17,14,6,9,26,22,14,33,23,26,14,36,16,12,23,26,22,19,13
2012/12/2,21,17,14,6,9,26,22,14,33,23,26,14,36,19,12,23,26,22,19,13
2012/12/3,21,17,17,6,9,26,22,14,33,23,26,14,36,19,12,23,26,22,19,13
2012/12/8,24,17,17,7,9,26,22,15,33,23,29,15,36,22,15,23,26,23,19,13
2012/12/9,24,17,17,7,9,26,22,15,33,26,29,15,39,22,15,23,26,23,22,13
2012/12/10,24,20,17,7,9,26,22,15,33,26,29,15,39,22,15,23,26,23,22,13
2012/12/11,24,20,17,7,9,26,22,15,33,26,29,15,39,22,15,23,26,23,22,16
2012/12/15,24,20,17,10,9,26,22,15,36,27,29,18,42,25,15,23,26,24,22,16
2012/12/16,24,20,17,10,9,27,23,15,36,27,29,18,42,25,15,23,29,24,22,16
2012/12/17,27,20,17,10,9,27,23,15,36,27,29,18,42,25,15,23,29,24,22,16
2012/12/22,30,20,20,10,9,30,23,15,39,30,29,18,42,25,15,23,30,25,25,19
2012/12/23,30,20,20,10,9,30,23,15,39,30,32,18,43,25,15,24,30,25,25,19
2012/12/26,30,21,20,10,10,33,23,15,39,33,35,18,46,25,16,25,33,28,25,22
2012/12/29,33,21,20,10,13,33,23,18,42,33,35,18,49,25,17,28,36,29,25,22
2012/12/30,33,21,20,10,13,33,23,18,42,33,38,18,49,25,17,28,36,29,28,22
2013/1/1,34,24,20,10,13,33,26,18,45,33,38,19,52,25,18,29,39,29,28,22
2013/1/2,34,24,20,13,13,33,26,18,45,36,38,19,52,25,18,29,39,29,31,22
2013/1/12,34,25,21,14,16,33,26,19,45,37,41,19,52,26,21,30,40,29,31,25
2013/1/13,34,25,21,14,16,33,26,19,48,37,41,19,55,26,21,30,40,29,31,25
2013/1/16,34,25,21,14,16,33,26,19,48,37,42,19,55,26,22,30,40,29,31,25
2013/1/19,34,25,21,15,19,34,27,19,51,37,42,20,55,26,22,33,40,29,34,28
2013/1/20,34,25,21,15,19,34,27,19,51,37,45,20,56,26,22,33,41,29,34,28
2013/1/21,34,25,21,15,19,34,27,19,51,38,45,20,56,26,23,33,41,29,34,28
2013/1/23,37,25,21,15,19,34,27,19,51,38,45,20,56,26,23,33,41,29,34,28
2013/1/29,37,25,24,16,19,34,27,20,52,38,45,20,56,26,23,34,41,30,34,29
2013/1/30,38,28,24,16,20,34,27,20,52,41,46,20,59,27,23,34,42,30,35,29
2013/2/2,41,28,27,17,23,34,30,21,52,42,46,21,62,28,24,34,42,30,35,29
2013/2/3,41,28,27,17,23,34,30,21,53,42,46,21,62,28,24,34,45,30,36,29
2013/2/9,44,29,27,17,23,34,30,21,53,42,49,21,62,29,27,37,48,33,36,29
2013/2/10,44,29,27,17,23,34,30,21,53,42,49,24,65,29,27,37,48,33,36,29
2013/2/11,44,29,27,17,23,37,30,21,53,42,49,24,65,29,27,37,48,33,36,29
2013/2/17,44,29,27,17,23,37,30,21,53,42,49,24,65,29,27,37,48,33,39,29
2013/2/23,47,32,27,17,23,40,30,24,53,42,49,24,68,32,27,37,48,33,39,29
2013/2/24,47,32,30,17,23,40,30,24,56,42,49,24,68,32,27,37,48,33,39,29
2013/2/25,47,32,30,17,23,40,30,24,56,42,49,24,68,32,27,37,51,33,39,29
2013/3/2,47,33,30,20,23,40,33,24,56,45,52,24,71,32,27,40,51,33,42,30
2013/3/3,47,33,30,20,23,40,33,24,56,45,52,24,71,32,27,40,54,33,42,30
2013/3/4,47,33,30,20,23,40,33,24,59,45,52,24,71,32,27,40,54,33,42,30
2013/3/9,47,33,30,23,23,43,33,24,59,45,52,27,71,33,28,40,54,33,42,30
2013/3/10,47,33,33,23,23,43,33,24,59,45,52,27,71,33,28,40,54,33,45,30
2013/3/16,50,33,33,23,23,44,33,24,59,48,52,30,74,33,31,40,54,34,45,30
2013/3/17,50,36,33,23,23,44,33,27,59,48,55,30,74,34,31,40,54,34,45,31
2013/3/30,53,36,33,23,23,44,36,30,62,51,55,30,77,34,34,40,57,34,45,31
2013/3/31,53,36,33,23,23,44,36,30,62,51,55,30,77,34,34,40,57,34,48,31
2013/4/1,53,39,33,23,23,44,36,30,62,51,55,30,77,34,34,40,57,34,48,31
2013/4/6,56,39,33,23,23,44,36,30,62,51,55,33,77,35,37,41,57,34,48,31
2013/4/7,56,39,36,24,23,44,37,31,62,52,58,33,77,35,37,41,58,34,49,31
2013/4/8,56,39,36,24,23,44,37,31,65,52,58,33,77,35,37,41,58,34,49,31
2013/4/13,59,40,36,24,24,44,38,31,65,55,58,34,77,35,38,41,58,34,50,31
