Date,Arsenal,Liverpool,Norwich,Sunderland,Swansea,West Brom,West Ham,Crystal Palace,Chelsea,Man City,Aston Villa,Everton,Fulham,Hull,Newcastle,Southampton,Stoke,Tottenham,Cardiff,Man United
2013/8/17,0,3,1,0,0,0,3,0,0,0,3,1,3,0,0,3,0,0,0,3
2013/8/18,0,3,1,0,0,0,3,0,3,0,3,1,3,0,0,3,0,3,0,3
2013/8/19,0,3,1,0,0,0,3,0,3,3,3,1,3,0,0,3,0,3,0,3
2013/8/21,0,3,1,0,0,0,3,0,6,3,3,1,3,0,0,3,0,3,0,3
2013/8/24,3,6,1,1,0,1,4,0,6,3,3,2,3,3,1,4,3,3,0,3
2013/8/25,3,6,1,1,0,1,4,0,6,3,3,2,3,3,1,4,3,6,3,3
2013/8/26,3,6,1,1,0,1,4,0,7,3,3,2,3,3,1,4,3,6,3,4
2013/8/31,3,6,4,1,0,1,4,3,7,6,3,3,3,3,4,4,6,6,4,4
2013/9/1,6,9,4,1,3,1,4,3,7,6,3,3,3,3,4,4,6,6,4,4
2013/9/14,9,9,4,1,3,2,4,3,7,7,3,6,4,4,7,4,7,9,5,7
2013/9/15,9,9,4,1,3,2,5,3,7,7,3,6,4,4,7,5,7,9,5,7
2013/9/16,9,10,4,1,4,2,5,3,7,7,3,6,4,4,7,5,7,9,5,7
2013/9/21,9,10,4,1,4,5,5,3,10,7,6,9,4,7,7,8,7,9,5,7
2013/9/22,12,10,4,1,7,5,5,3,10,10,6,9,4,7,7,8,7,12,5,7
2013/9/28,15,10,4,1,7,8,5,3,11,10,9,9,4,10,7,11,7,13,8,7
2013/9/29,15,13,7,1,7,8,5,3,11,10,9,9,4,10,7,11,7,13,8,7
2013/9/30,15,13,7,1,7,8,5,3,11,10,9,12,4,10,7,11,7,13,8,7
2013/10/5,15,16,7,1,7,8,5,3,11,13,10,12,7,11,10,11,7,13,8,10
2013/10/6,16,16,7,1,7,9,8,3,14,13,10,12,7,11,10,14,7,13,8,10
2013/10/19,19,17,7,1,10,10,8,3,17,16,10,15,7,11,11,15,8,13,8,11
2013/10/20,19,17,7,1,10,10,8,3,17,16,10,15,7,11,11,15,8,16,8,11
2013/10/21,19,17,7,1,10,10,8,3,17,16,10,15,10,11,11,15,8,16,8,11
2013/10/26,22,20,8,1,10,10,8,3,17,16,10,18,10,11,11,18,8,16,9,14
2013/10/27,22,20,8,4,11,10,9,3,20,16,10,18,10,11,11,18,8,19,9,14
2013/11/2,25,20,8,4,11,13,10,3,20,19,11,18,10,14,14,19,9,19,9,17
2013/11/3,25,20,8,4,11,13,10,3,20,19,11,19,10,14,14,19,9,20,12,17
2013/11/9,25,23,11,4,11,14,10,4,21,19,14,20,10,14,14,22,9,20,12,17
2013/11/10,25,23,11,7,12,14,10,4,21,19,14,20,10,14,17,22,10,20,12,20
2013/11/23,28,24,11,7,15,14,10,7,24,19,14,21,10,14,20,22,13,20,12,20
2013/11/24,28,24,11,7,15,14,10,7,24,22,14,21,10,14,20,22,13,20,13,21
2013/11/25,28,24,11,7,15,15,10,7,24,22,15,21,10,14,20,22,13,20,13,21
2013/11/30,31,24,14,8,15,15,13,7,24,22,16,24,10,14,23,22,13,20,13,21
2013/12/1,31,24,14,8,15,15,13,7,27,25,16,24,10,17,23,22,13,21,13,22
2013/12/3,31,24,14,8,15,15,13,10,27,25,16,24,10,17,23,22,13,21,13,22
2013/12/4,34,27,14,8,18,15,13,10,30,28,19,27,10,17,23,22,14,24,14,22
2013/12/7,34,30,17,8,18,15,13,13,30,29,19,27,10,17,26,23,17,27,14,22
2013/12/8,35,30,17,8,18,15,13,13,30,29,19,28,13,17,26,23,17,27,14,22
2013/12/9,35,30,17,8,19,15,13,13,30,29,19,28,13,18,26,23,17,27,14,22
2013/12/14,35,30,17,9,19,15,14,13,33,32,19,31,13,19,27,24,18,27,17,22
2013/12/15,35,33,18,9,20,15,14,13,33,32,19,31,13,19,27,24,18,27,17,25
2013/12/21,35,36,19,10,20,16,14,13,33,35,19,31,13,20,30,24,21,27,17,28
2013/12/22,35,36,19,10,20,16,14,13,33,35,19,34,13,20,30,24,21,30,17,28
2013/12/23,36,36,19,10,20,16,14,13,34,35,19,34,13,20,30,24,21,30,17,28
