Date,Arsenal,Leicester,Man United,QPR,Stoke,West Brom,West Ham,Liverpool,Newcastle,Burnley,Crystal Palace,Everton,Southampton,Swansea,Aston Villa,Chelsea,Tottenham,Hull,Sunderland,Man City
2014/8/16,3,1,0,0,0,1,0,0,0,0,0,1,0,3,3,0,3,3,1,0
2014/8/17,3,1,0,0,0,1,0,3,0,0,0,1,0,3,3,0,3,3,1,3
2014/8/18,3,1,0,0,0,1,0,3,0,0,0,1,0,3,3,3,3,3,1,3
2014/8/23,4,1,0,0,0,2,3,3,1,0,0,2,1,6,4,6,3,3,1,3
2014/8/24,4,1,1,0,1,2,3,3,1,0,0,2,1,6,4,6,6,4,2,3
2014/8/25,4,1,1,0,1,2,3,3,1,0,0,2,1,6,4,6,6,4,2,6
2014/8/30,4,1,2,3,4,2,3,3,2,1,1,2,4,9,4,9,6,4,2,6
2014/8/31,5,2,2,3,4,2,3,6,2,1,1,2,4,9,7,9,6,4,2,6
2014/9/13,6,5,2,3,4,2,3,6,2,2,2,5,7,9,10,12,7,4,3,7
2014/9/14,6,5,5,3,4,2,3,6,2,2,2,5,7,9,10,12,7,4,3,7
2014/9/15,6,5,5,3,4,2,4,6,2,2,2,5,7,9,10,12,7,5,3,7
2014/9/20,9,5,5,4,5,2,7,6,3,3,2,5,10,9,10,12,7,6,4,7
2014/9/21,9,8,5,4,5,5,7,6,3,3,5,5,10,9,10,13,7,6,4,8
2014/9/27,10,8,8,4,5,5,7,7,3,3,8,6,13,10,10,16,8,6,5,11
2014/9/28,10,8,8,4,5,8,7,7,3,3,8,6,13,10,10,16,8,6,5,11
2014/9/29,10,8,8,4,8,8,7,7,3,3,8,6,13,10,10,16,8,6,5,11
2014/10/4,10,9,8,4,8,8,7,10,4,4,8,6,13,11,10,16,8,9,8,14
2014/10/5,10,9,11,4,8,8,10,10,4,4,8,6,13,11,10,19,11,9,8,14
2014/10/18,11,9,11,4,8,8,13,10,7,4,8,9,16,11,10,22,11,10,8,17
2014/10/19,11,9,11,4,11,8,13,13,7,4,8,9,16,11,10,22,11,10,8,17
2014/10/20,11,9,12,4,11,9,13,13,7,4,8,9,16,11,10,22,11,10,8,17
2014/10/25,14,9,12,4,11,10,16,14,7,4,9,9,19,14,10,22,11,11,8,17
2014/10/26,14,9,13,4,11,10,16,14,10,4,9,12,19,14,10,23,11,11,8,17
2014/10/27,14,9,13,7,11,10,16,14,10,4,9,12,19,14,10,23,11,11,8,17
2014/11/1,17,9,13,7,12,13,17,14,13,4,9,13,22,15,10,26,11,11,8,17
2014/11/2,17,9,13,7,12,13,17,14,13,4,9,13,22,15,10,26,14,11,8,20
2014/11/3,17,9,13,7,12,13,17,14,13,4,9,13,22,15,10,26,14,11,11,20
