Date,Bournemouth,Chelsea,Everton,Leicester,Man United,Norwich,Arsenal,Newcastle,Stoke,West Brom,Aston Villa,Southampton,Sunderland,Swansea,Tottenham,Watford,West Ham,Crystal Palace,Man City,Liverpool
2015/8/8,0,1,1,3,3,0,0,0,0,0,3,0,0,1,0,1,0,3,0,0
2015/8/9,0,1,1,3,3,0,0,1,0,0,3,1,0,1,0,1,3,3,0,3
2015/8/10,0,1,1,3,3,0,0,1,0,0,3,1,0,1,0,1,3,3,3,3
2015/8/14,0,1,1,3,6,0,0,1,0,0,3,1,0,1,0,1,3,3,3,3
2015/8/15,0,1,4,6,6,3,0,1,1,1,3,1,0,4,1,2,3,3,3,3
2015/8/16,0,1,4,6,6,3,3,1,1,1,3,1,0,4,1,2,3,3,6,3
2015/8/17,0,1,4,6,6,3,3,1,1,1,3,1,0,4,1,2,3,3,6,6
2015/8/22,3,1,4,7,7,4,3,2,2,1,3,1,1,5,2,2,3,6,6,6
2015/8/23,3,4,4,7,7,4,3,2,2,1,3,2,1,5,2,3,3,6,9,6
2015/8/24,3,4,4,7,7,4,4,2,2,1,3,2,1,5,2,3,3,6,9,7
2015/8/29,4,4,5,8,7,4,7,2,2,4,4,2,2,5,3,3,6,9,12,7
2015/8/30,4,4,5,8,7,4,7,2,2,4,4,5,2,8,3,3,6,9,12,7
2015/9/12,4,4,8,8,10,7,10,2,2,5,4,6,2,8,3,6,6,9,15,7
2015/9/13,4,4,8,11,10,7,10,2,2,5,4,6,2,8,6,6,6,9,15,7
2015/9/14,4,4,8,11,10,7,10,2,2,5,4,6,2,8,6,6,9,9,15,7
2015/9/19,7,7,9,12,10,7,10,2,3,8,4,6,2,9,6,9,12,9,15,7
2015/9/20,7,7,9,12,13,8,10,2,3,8,4,6,2,9,9,9,12,9,15,8
2015/9/26,7,8,9,12,16,9,13,3,6,8,4,9,2,9,12,9,13,9,15,11
2015/9/27,7,8,9,12,16,9,13,3,6,8,4,9,2,9,12,9,13,12,15,11
2015/9/28,7,8,12,12,16,9,13,3,6,8,4,9,2,9,12,9,13,12,15,11
2015/10/3,8,8,12,15,16,9,13,3,9,8,4,12,3,9,12,10,14,15,18,11
2015/10/4,8,8,13,15,16,9,16,3,9,8,4,12,3,10,13,10,14,15,18,12
