Date,Southampton,Man City,Hull,Middlesbrough,Crystal Palace,Burnley,Everton,Arsenal,Bournemouth,Chelsea,Man United,Watford,Leicester,Stoke,Swansea,Tottenham,West Brom,West Ham,Sunderland,Liverpool
2016/8/13,1,3,3,1,0,0,1,0,0,0,0,1,0,1,3,1,3,0,0,0
2016/8/14,1,3,3,1,0,0,1,0,0,0,3,1,0,1,3,1,3,0,0,3
2016/8/15,1,3,3,1,0,0,1,0,0,3,3,1,0,1,3,1,3,0,0,3
2016/8/19,1,3,3,1,0,0,1,0,0,3,6,1,0,1,3,1,3,0,0,3
2016/8/20,1,6,6,1,0,3,4,1,0,6,6,1,1,1,3,4,3,0,0,3
2016/8/21,1,6,6,4,0,3,4,1,0,6,6,1,1,1,3,4,3,3,0,3
2016/8/27,2,6,6,4,1,3,7,4,1,9,9,1,4,1,3,5,3,3,1,4
2016/8/28,2,9,6,5,1,3,7,4,1,9,9,1,4,1,3,5,4,3,1,4
2016/9/10,2,12,7,5,4,4,7,7,4,9,9,4,4,1,3,8,4,3,1,7
2016/9/11,2,12,7,5,4,4,7,7,4,10,9,4,4,1,4,8,4,3,1,7
2016/9/12,2,12,7,5,4,4,10,7,4,10,9,4,4,1,4,8,4,3,1,7
2016/9/16,2,12,7,5,4,4,10,7,4,10,9,4,4,1,4,8,4,3,1,10
2016/9/17,2,15,7,5,4,4,13,10,4,10,9,4,7,1,4,8,7,3,1,10
2016/9/18,5,15,7,5,7,4,13,10,4,10,9,7,7,1,4,11,7,3,1,10
2016/9/24,5,18,7,5,10,4,13,13,7,10,12,7,7,2,4,14,8,3,1,13
2016/9/25,8,18,7,5,10,4,13,13,7,10,12,7,7,2,4,14,8,3,1,13
2016/9/26,8,18,7,5,10,7,13,13,7,10,12,7,7,2,4,14,8,3,1,13
2016/9/30,8,18,7,5,11,7,14,13,7,10,12,7,7,2,4,14,8,3,1,13
2016/10/1,8,18,7,6,11,7,14,13,8,13,12,8,7,2,4,14,9,4,2,16
2016/10/2,9,18,7,6,11,7,14,16,8,13,13,8,8,3,4,17,9,4,2,16
2016/10/15,9,19,7,6,11,7,15,19,11,16,13,8,8,6,4,18,10,7,2,16
2016/10/16,12,19,7,6,11,7,15,19,11,16,13,11,8,6,4,18,10,7,2,16
2016/10/17,12,19,7,6,11,7,15,19,11,16,14,11,8,6,4,18,10,7,2,17
2016/10/22,12,19,7,7,11,10,15,20,12,16,14,12,11,9,5,19,10,10,2,20
2016/10/23,13,20,7,7,11,10,15,20,12,19,14,12,11,9,5,19,10,10,2,20
2016/10/29,13,23,7,10,11,11,15,23,12,19,15,15,12,9,5,20,10,10,2,23
2016/10/30,13,23,7,10,11,11,18,23,12,22,15,15,12,9,5,20,10,10,2,23
2016/10/31,13,23,7,10,11,11,18,23,12,22,15,15,12,12,5,20,10,10,2,23
2016/11/5,13,24,7,11,11,14,18,23,12,25,15,15,12,13,5,20,10,11,5,23
2016/11/6,13,24,10,11,11,14,18,24,12,25,18,15,12,13,5,21,13,11,5,26
2016/11/19,14,27,10,11,11,14,19,25,15,25,19,18,12,13,6,24,13,11,8,27
2016/11/20,14,27,10,11,11,14,19,25,15,28,19,18,12,13,6,24,13,11,8,27
2016/11/21,14,27,10,11,11,14,19,25,15,28,19,18,12,13,6,24,16,11,8,27
2016/11/26,14,30,11,12,11,14,19,25,15,31,19,18,13,13,9,24,17,11,8,30
2016/11/27,17,30,11,12,11,14,19,28,15,31,20,18,13,16,9,24,17,12,8,30
2016/12/3,17,30,11,12,14,14,19,31,15,34,20,18,13,19,9,27,20,12,11,30
2016/12/4,17,30,11,12,14,14,20,31,18,34,21,18,13,19,9,27,20,12,11,30
2016/12/5,17,30,11,15,14,14,20,31,18,34,21,18,13,19,9,27,20,12,11,30
2016/12/10,17,30,12,15,15,17,20,34,18,34,21,21,16,19,12,27,20,12,11,30
2016/12/11,20,30,12,15,15,17,20,34,18,37,24,21,16,19,12,27,20,13,11,31
2016/12/13,20,30,12,15,15,17,23,34,21,37,24,21,16,19,12,27,20,13,11,31
2016/12/14,21,33,12,15,15,17,23,34,21,40,27,21,16,20,12,30,23,16,11,34
2016/12/17,21,33,12,18,15,17,23,34,21,43,30,21,17,21,12,30,23,19,14,34
2016/12/18,24,36,12,18,15,17,23,34,21,43,30,21,17,21,12,33,23,19,14,34
2016/12/19,24,36,12,18,15,17,23,34,21,43,30,21,17,21,12,33,23,19,14,37
2016/12/26,24,39,12,18,16,20,26,37,21,46,33,22,17,21,12,33,23,22,14,37
2016/12/27,24,39,12,18,16,20,26,37,21,46,33,22,17,21,12,33,23,22,14,40
2016/12/28,24,39,12,18,16,20,26,37,21,46,33,22,17,21,12,36,23,22,14,40
2016/12/30,24,39,13,18,16,20,27,37,21,46,33,22,17,21,12,36,23,22,14,40
2016/12/31,24,39,13,18,16,23,27,37,24,49,36,22,20,21,12,36,26,22,14,43
2017/1/1,24,39,13,18,16,23,27,40,24,49,36,22,20,21,12,39,26,22,14,43
2017/1/2,24,42,13,19,16,23,30,40,24,49,39,22,21,21,12,39,29,22,15,44
2017/1/3,24,42,13,19,16,23,30,41,25,49,39,22,21,24,15,39,29,22,15,44
2017/1/4,24,42,13,19,16,23,30,41,25,49,39,22,21,24,15,42,29,22,15,44
2017/1/14,24,42,16,20,16,26,30,44,25,52,39,23,21,27,15,45,29,25,15,44
2017/1/15,24,42,16,20,16,26,33,44,25,52,40,23,21,27,15,45,29,25,15,45
2017/1/21,24,43,16,20,16,26,36,44,26,52,41,24,21,28,18,46,32,28,15,45
2017/1/22,27,43,16,20,16,26,36,47,26,55,41,24,21,28,18,46,32,28,15,45
2017/1/31,27,43,16,21,19,29,36,47,26,56,41,27,21,28,21,47,33,28,16,46
2017/2/1,27,46,17,21,19,29,37,47,26,56,42,27,21,29,21,47,33,28,16,46
2017/2/4,27,46,20,21,19,29,40,47,26,59,42,30,21,29,21,50,36,31,19,46
2017/2/5,27,49,20,21,19,29,40,47,26,59,45,30,21,29,21,50,36,31,19,46
2017/2/11,30,49,20,22,19,29,41,50,26,59,48,30,21,32,21,50,37,32,19,49
2017/2/12,30,49,20,22,19,30,41,50,26,60,48,30,21,32,24,50,37,32,19,49
2017/2/13,30,52,20,22,19,30,41,50,26,60,48,30,21,32,24,50,37,32,19,49
2017/2/25,30,52,21,22,22,31,44,50,26,63,48,31,21,32,24,50,40,33,19,49
2017/2/26,30,52,21,22,22,31,44,50,26,63,48,31,21,32,24,53,40,33,19,49
2017/2/27,30,52,21,22,22,31,44,50,26,63,48,31,24,32,24,53,40,33,19,49
2017/3/4,33,52,21,22,25,31,44,50,27,63,49,31,27,35,27,53,40,33,19,52
2017/3/5,33,55,21,22,25,31,44,50,27,63,49,31,27,35,27,56,40,33,19,52
2017/3/6,33,55,21,22,25,31,44,50,27,66,49,31,27,35,27,56,40,33,19,52
2017/3/8,33,56,21,22,25,31,44,50,27,66,49,31,27,36,27,56,40,33,19,52
2017/3/11,33,56,24,22,25,31,47,50,30,66,49,31,27,36,27,56,40,33,19,52
