Date,Arsenal,Watford,West Brom,Southampton,Brighton,Crystal Palace,Chelsea,Everton,Man United,Newcastle,Swansea,Stoke,Liverpool,Burnley,Bournemouth,Leicester,Huddersfield,Tottenham,Man City,West Ham
2017/8/11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/8/12,3,1,3,1,0,0,0,3,0,0,1,0,1,3,0,0,3,0,3,0
2017/8/13,3,1,3,1,0,0,0,3,3,0,1,0,1,3,0,0,3,3,3,0
2017/8/19,3,4,6,4,0,0,0,3,6,0,1,3,4,3,0,3,3,3,3,0
2017/8/20,3,4,6,4,0,0,3,3,6,0,1,3,4,3,0,3,6,3,3,0
2017/8/21,3,4,6,4,0,0,3,4,6,0,1,3,4,3,0,3,6,3,4,0
2017/8/26,3,5,6,5,1,0,3,4,9,3,4,3,4,3,0,3,7,3,7,0
2017/8/27,3,5,7,5,1,0,6,4,9,3,4,4,7,4,0,3,7,4,7,0
2017/9/9,6,8,7,5,4,0,9,4,10,3,4,5,7,4,0,3,7,7,10,0
2017/9/10,6,8,7,5,4,0,9,4,10,6,4,5,7,7,0,3,7,7,10,0
2017/9/11,6,8,7,5,4,0,9,4,10,6,4,5,7,7,0,3,7,7,10,3
2017/9/15,6,8,7,5,4,0,9,4,10,6,4,5,7,7,3,3,7,7,10,3
2017/9/16,6,8,8,8,4,0,9,4,10,9,5,5,8,8,3,4,8,8,13,4
2017/9/17,7,8,8,8,4,0,10,4,13,9,5,5,8,8,3,4,8,8,13,4
2017/9/23,7,11,8,8,4,0,13,7,16,9,5,5,11,9,3,4,9,11,16,4
2017/9/24,7,11,8,8,7,0,13,7,16,9,5,5,11,9,3,4,9,11,16,4
2017/9/25,10,11,8,8,7,0,13,7,16,9,5,5,11,9,3,4,9,11,16,4
2017/9/30,10,12,9,8,7,0,13,7,19,9,5,8,11,9,4,5,9,14,19,7
2017/10/1,13,12,9,8,7,0,13,7,19,10,5,8,12,12,4,5,9,14,19,7
2017/10/14,13,15,9,8,7,3,13,7,20,10,8,8,13,13,4,5,9,17,22,8
