Date,Man United,Wolves,Watford,Fulham,Huddersfield,Bournemouth,Newcastle,Arsenal,Liverpool,Southampton,Cardiff,Chelsea,Everton,Leicester,Tottenham,West Ham,Man City,Brighton,Burnley,Crystal Palace
2018/8/10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/8/11,3,1,3,0,0,3,0,0,0,0,0,3,1,0,3,0,0,0,0,3
2018/8/12,3,1,3,0,0,3,0,0,3,1,0,3,1,0,3,0,3,0,1,3
2018/8/18,3,1,3,0,0,6,1,0,3,1,1,6,4,3,6,0,3,0,1,3
2018/8/19,3,1,6,0,0,6,1,0,3,1,1,6,4,3,6,0,6,3,1,3
2018/8/20,3,1,6,0,0,6,1,0,6,1,1,6,4,3,6,0,6,3,1,3
2018/8/25,3,2,6,0,1,7,1,3,9,1,2,6,5,6,6,0,7,3,1,3
2018/8/26,3,2,9,3,1,7,1,3,9,1,2,9,5,6,6,0,7,3,1,3
2018/8/27,3,2,9,3,1,7,1,3,9,1,2,9,5,6,9,0,7,3,1,3
2018/9/1,3,5,9,4,2,7,1,3,12,4,2,12,6,6,9,0,10,4,1,3
2018/9/2,6,5,12,4,2,7,1,6,12,4,2,12,6,6,9,0,10,4,1,3
2018/9/15,9,5,12,4,2,10,1,9,15,4,2,15,6,6,9,0,13,4,1,6
2018/9/16,9,8,12,4,2,10,1,9,15,4,2,15,6,6,9,3,13,4,1,6
2018/9/17,9,8,12,4,2,10,1,9,15,5,2,15,6,6,9,3,13,5,1,6
2018/9/22,10,9,13,5,2,10,2,9,18,5,2,15,6,9,12,3,16,5,4,7
2018/9/23,10,9,13,5,2,10,2,12,18,5,2,16,6,9,12,4,16,5,4,7
2018/9/29,10,12,13,5,2,10,2,15,19,5,2,17,9,12,15,7,19,5,4,7
2018/9/30,10,12,13,5,2,10,2,15,19,5,2,17,9,12,15,7,19,5,7,7
2018/10/1,10,12,13,5,2,13,2,15,19,5,2,17,9,12,15,7,19,5,7,7
2018/10/5,10,12,13,5,2,13,2,15,19,5,2,17,9,12,15,7,19,8,7,7
2018/10/6,13,15,13,5,3,16,2,15,19,5,2,17,12,12,18,7,19,8,8,7
2018/10/7,13,15,13,5,3,16,2,18,20,5,2,20,12,12,18,7,20,8,8,7
2018/10/20,14,15,16,5,3,17,2,18,23,6,5,21,12,12,21,7,23,11,8,7
2018/10/21,14,15,16,5,3,17,2,18,23,6,5,21,15,12,21,7,23,11,8,7
2018/10/22,14,15,16,5,3,17,2,21,23,6,5,21,15,12,21,7,23,11,8,7
2018/10/27,14,15,19,5,3,20,3,21,26,7,5,21,15,13,21,8,23,14,8,7
2018/10/28,17,15,19,5,3,20,3,22,26,7,5,24,15,13,21,8,23,14,8,8
2018/10/29,17,15,19,5,3,20,3,22,26,7,5,24,15,13,21,8,26,14,8,8
2018/11/3,20,15,19,5,3,20,6,23,27,7,5,24,18,16,24,11,26,14,8,8
2018/11/4,20,15,19,5,3,20,6,23,27,7,5,27,18,16,24,11,29,14,8,8
2018/11/5,20,15,19,5,6,20,6,23,27,7,5,27,18,16,24,11,29,14,8,8
2018/11/10,20,15,20,5,7,20,9,23,27,8,8,27,18,17,27,12,29,14,9,8
2018/11/11,20,16,20,5,7,20,9,24,30,8,8,28,19,17,27,12,32,14,9,8
2018/11/24,21,16,20,8,7,20,9,24,33,8,8,28,22,18,30,12,35,15,9,9
2018/11/25,21,16,20,8,10,20,9,27,33,8,8,28,22,18,30,12,35,15,9,9
2018/11/26,21,16,20,8,10,20,12,27,33,8,8,28,22,18,30,12,35,15,9,9
2018/11/30,21,16,20,8,10,20,12,27,33,8,11,28,22,18,30,12,35,15,9,9
2018/12/1,22,16,20,8,10,20,12,27,33,9,11,28,22,21,30,15,38,18,9,12
2018/12/2,22,16,20,8,10,20,12,30,36,9,11,31,22,21,30,15,38,18,9,12
2018/12/4,22,16,20,8,10,23,12,30,36,9,11,31,22,21,30,18,41,21,9,12
2018/12/5,23,19,20,9,10,23,13,31,39,9,11,31,23,22,33,18,41,21,9,12
2018/12/8,26,19,20,9,10,23,13,34,42,9,14,34,23,22,36,21,41,21,12,12
2018/12/9,26,22,20,9,10,23,13,34,42,9,14,34,23,22,36,21,41,21,12,12
2018/12/10,26,22,21,9,10,23,13,34,42,9,14,34,24,22,36,21,41,21,12,12
2018/12/15,26,25,24,9,10,23,16,34,42,9,14,34,24,22,39,24,44,21,12,15
2018/12/16,26,25,24,9,10,23,16,34,45,12,14,37,24,22,39,24,44,21,12,15
2018/12/21,26,25,24,9,10,23,16,34,48,12,14,37,24,22,39,24,44,21,12,15
2018/12/22,29,25,27,10,10,26,17,37,48,15,14,37,24,25,39,24,44,21,12,18
2018/12/23,29,25,27,10,10,26,17,37,48,15,14,37,24,25,42,24,44,21,12,18
2018/12/26,32,26,27,11,10,26,17,38,51,15,15,40,27,28,45,24,44,22,12,19
2018/12/27,32,26,27,11,10,26,17,38,51,15,15,40,27,28,45,27,44,22,12,19
2018/12/29,32,29,28,14,10,26,18,38,54,15,18,40,27,28,45,27,44,25,12,19
2018/12/30,35,29,28,14,10,26,18,38,54,15,18,43,27,28,45,27,47,25,15,19
2019/1/1,35,29,28,14,10,26,18,41,54,15,18,43,27,31,48,27,47,25,15,19
2019/1/2,38,29,29,14,10,27,18,41,54,16,18,44,27,31,48,28,47,26,18,22
2019/1/3,38,29,29,14,10,27,18,41,54,16,18,44,27,31,48,28,50,26,18,22
2019/1/12,38,29,32,14,11,27,18,41,57,19,19,47,27,31,48,31,50,26,21,22
2019/1/13,41,29,32,14,11,27,18,41,57,19,19,47,30,31,48,31,50,26,21,22
2019/1/14,41,29,32,14,11,27,18,41,57,19,19,47,30,31,48,31,53,26,21,22
2019/1/19,44,32,33,14,11,30,21,44,60,22,19,47,30,31,48,31,53,26,22,22
2019/1/20,44,32,33,14,11,30,21,44,60,22,19,47,30,31,51,31,56,26,22,22
2019/1/29,45,35,33,17,11,30,24,47,60,22,19,47,33,31,51,31,56,26,23,22
2019/1/30,45,35,33,17,11,33,24,47,61,23,19,47,33,32,54,31,56,26,23,23
2019/2/2,45,38,34,17,11,33,24,47,61,24,22,50,33,32,57,31,56,27,24,26
2019/2/3,48,38,34,17,11,33,24,47,61,24,22,50,33,32,57,31,59,27,24,26
2019/2/4,48,38,34,17,11,33,24,47,62,24,22,50,33,32,57,32,59,27,24,26
2019/2/6,48,38,34,17,11,33,24,47,62,24,22,50,33,32,57,32,62,27,24,26
2019/2/9,51,38,37,17,11,33,24,50,65,24,25,50,33,32,57,33,62,27,27,27
2019/2/10,51,38,37,17,11,33,24,50,65,24,25,50,33,32,60,33,65,27,27,27
2019/2/11,51,39,37,17,11,33,25,50,65,24,25,50,33,32,60,33,65,27,27,27
2019/2/22,51,39,40,17,11,33,25,50,65,24,25,50,33,32,60,36,65,27,27,27
2019/2/23,51,40,40,17,11,34,28,50,65,24,25,50,33,32,60,36,65,27,30,30
2019/2/24,52,40,40,17,11,34,28,53,66,24,25,50,33,32,60,36,65,27,30,30
2019/2/26,52,40,40,17,14,34,31,53,66,24,25,50,36,35,60,36,65,27,30,30
2019/2/27,55,40,40,17,14,34,31,56,69,27,25,53,36,35,60,36,68,27,30,30
2019/3/2,58,43,40,17,14,34,31,57,69,27,25,53,36,35,61,39,71,30,30,33
2019/3/3,58,43,43,17,14,34,31,57,70,27,25,56,37,35,61,39,71,30,30,33
2019/3/9,58,43,43,17,14,37,34,57,70,30,28,56,37,38,61,39,74,33,30,33
2019/3/10,58,44,43,17,14,37,34,60,73,30,28,57,37,38,61,39,74,33,30,33
2019/3/16,58,44,43,17,14,38,35,60,73,30,28,57,37,41,61,42,74,33,30,33
2019/3/17,58,44,43,17,14,38,35,60,76,30,28,57,40,41,61,42,74,33,30,33
2019/3/30,61,44,43,17,14,38,35,60,76,33,28,57,43,44,61,42,77,33,33,36
2019/3/31,61,44,43,17,14,38,35,60,79,33,28,60,43,44,61,42,77,33,33,36
2019/4/1,61,44,43,17,14,38,35,63,79,33,28,60,43,44,61,42,77,33,33,36
