Date,Liverpool,West Ham,Bournemouth,Burnley,Crystal Palace,Watford,Tottenham,Man United,Newcastle,Leicester,Arsenal,Aston Villa,Brighton,Everton,Norwich,Southampton,Man City,Sheffield United,Chelsea,Wolves
2019/8/9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/8/10,3,0,1,3,1,0,3,0,0,0,0,0,3,1,0,0,3,1,0,0
2019/8/11,3,0,1,3,1,0,3,3,0,1,3,0,3,1,0,0,3,1,0,1
2019/8/17,6,1,4,3,1,0,4,3,0,1,6,0,4,4,3,0,4,1,0,1
2019/8/18,6,1,4,3,1,0,4,3,0,2,6,0,4,4,3,0,4,4,1,1
2019/8/19,6,1,4,3,1,0,4,4,0,2,6,0,4,4,3,0,4,4,1,2
2019/8/23,6,1,4,3,1,0,4,4,0,2,6,3,4,4,3,0,4,4,1,2
2019/8/24,9,4,4,3,4,0,4,4,0,5,6,3,4,4,3,3,4,4,4,2
2019/8/25,9,4,4,4,4,0,4,4,3,5,6,3,4,4,3,3,7,4,4,3
2019/8/31,12,7,4,4,7,1,4,5,4,8,6,3,4,4,3,4,10,5,5,3
2019/9/1,12,7,4,4,7,1,5,5,4,8,7,3,4,7,3,4,10,5,5,3
2019/9/14,15,7,4,5,7,1,8,8,4,8,7,3,5,7,6,7,10,5,8,3
2019/9/15,15,7,7,5,7,2,8,8,4,8,8,3,5,7,6,7,10,5,8,3
2019/9/16,15,8,7,5,7,2,8,8,4,8,8,4,5,7,6,7,10,5,8,3
2019/9/20,15,8,10,5,7,2,8,8,4,8,8,4,5,7,6,7,10,5,8,3
2019/9/21,15,8,10,8,7,2,8,8,5,11,8,4,6,7,6,7,13,8,8,3
2019/9/22,18,11,10,8,8,2,8,8,5,11,11,4,6,7,6,7,13,8,8,4
2019/9/28,21,12,11,9,11,2,11,8,5,11,11,5,6,7,6,7,16,8,11,7
2019/9/29,21,12,11,9,11,2,11,8,5,14,11,5,6,7,6,7,16,8,11,7
2019/9/30,21,12,11,9,11,2,11,9,5,14,12,5,6,7,6,7,16,8,11,7
2019/10/5,24,12,11,12,14,3,11,9,5,14,12,8,9,7,6,7,16,9,11,7
2019/10/6,24,12,11,12,14,3,11,9,8,14,15,8,9,7,6,7,16,9,14,10
2019/10/19,24,12,12,12,14,4,12,9,8,17,15,11,9,10,7,8,19,9,17,11
2019/10/20,25,12,12,12,14,4,12,10,8,17,15,11,9,10,7,8,19,9,17,11
2019/10/21,25,12,12,12,14,4,12,10,8,17,15,11,9,10,7,8,19,12,17,11
2019/10/25,25,12,12,12,14,4,12,10,8,20,15,11,9,10,7,8,19,12,17,11
2019/10/26,25,13,13,12,14,5,12,10,8,20,15,11,12,10,7,8,22,13,20,11
2019/10/27,28,13,13,12,15,5,12,13,9,20,16,11,12,10,7,8,22,13,20,12
2019/11/2,31,13,16,12,15,5,12,13,12,20,17,11,15,10,7,8,25,16,23,13
2019/11/3,31,13,16,12,15,5,13,13,12,23,17,11,15,11,7,8,25,16,23,13
2019/11/8,31,13,16,12,15,8,13,13,12,23,17,11,15,11,7,8,25,16,23,13
2019/11/9,31,13,16,15,15,8,14,13,15,26,17,11,15,14,7,8,25,17,26,13
2019/11/10,34,13,16,15,15,8,14,16,15,26,17,11,15,14,7,8,25,17,26,16
2019/11/23,37,13,16,18,15,8,17,16,15,29,18,11,15,14,10,9,28,17,26,19
2019/11/24,37,13,16,18,15,8,17,17,15,29,18,11,15,14,10,9,28,18,26,19
2019/11/25,37,13,16,18,15,8,17,17,15,29,18,14,15,14,10,9,28,18,26,19
2019/11/30,40,16,16,18,18,8,20,17,16,29,18,14,15,14,10,12,29,18,26,19
2019/12/1,40,16,16,18,18,8,20,18,16,32,19,15,15,14,11,12,29,19,26,20
2019/12/3,40,16,16,18,21,8,20,18,16,32,19,15,15,14,11,12,32,19,26,20
2019/12/4,43,16,16,18,21,8,20,21,16,35,19,15,15,14,11,15,32,19,29,23
2019/12/5,43,16,16,18,21,8,20,21,19,35,19,15,18,14,11,15,32,19,29,23
2019/12/7,46,16,16,18,22,9,23,24,19,35,19,15,18,17,11,15,32,19,29,23
2019/12/8,46,16,16,18,22,9,23,24,22,38,19,15,19,17,11,15,32,22,29,24
2019/12/9,46,16,16,18,22,9,23,24,22,38,22,15,19,17,11,15,32,22,29,24
2019/12/14,49,19,19,21,22,9,23,24,22,39,22,15,19,17,12,15,32,25,29,24
2019/12/15,49,19,19,21,22,9,26,25,22,39,22,15,19,18,12,15,35,25,29,24
2019/12/16,49,19,19,21,23,9,26,25,22,39,22,15,20,18,12,15,35,25,29,24
2019/12/21,49,19,19,24,23,9,26,25,25,39,23,15,20,19,12,18,38,28,29,27
