Date,West Ham,Liverpool,Fulham,Crystal Palace,West Brom,Tottenham,Brighton,Sheffield United,Everton,Leeds,Man United,Arsenal,Southampton,Newcastle,Chelsea,Leicester,Wolves,Aston Villa,Burnley,Man City
2020/9/12,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
2020/9/13,0,3,0,3,0,0,0,0,3,0,0,3,0,3,0,3,0,0,0,0
2020/9/14,0,3,0,3,0,0,0,0,3,0,0,3,0,3,3,3,3,0,0,0
2020/9/19,0,3,0,6,0,0,0,0,6,3,0,6,0,3,3,3,3,0,0,0
2020/9/20,0,6,0,6,0,3,3,0,6,3,0,6,0,3,3,6,3,0,0,0
2020/9/21,0,6,0,6,0,3,3,0,6,3,0,6,0,3,3,6,3,3,0,3
2020/9/26,0,6,0,6,1,3,3,0,9,3,3,6,3,3,4,6,3,3,0,3
2020/9/27,3,6,0,6,1,4,3,0,9,6,3,6,3,4,4,9,3,3,0,3
2020/9/28,3,9,0,6,1,4,3,0,9,6,3,6,3,4,4,9,3,6,0,3
2020/10/3,3,9,0,6,1,4,3,0,12,7,3,6,3,7,7,9,3,6,0,4
2020/10/4,6,9,0,6,1,7,3,0,12,7,3,9,6,7,7,9,6,9,0,4
2020/10/17,6,10,0,6,1,7,3,0,13,7,6,9,7,7,8,9,6,9,0,7
2020/10/18,7,10,1,7,1,8,4,1,13,7,6,9,7,7,8,9,6,12,0,7
2020/10/19,7,10,1,7,2,8,4,1,13,7,6,9,7,7,8,9,9,12,1,7
2020/10/23,7,10,1,7,2,8,4,1,13,10,6,9,7,7,8,9,9,12,1,7
2020/10/24,8,13,1,10,2,8,4,1,13,10,7,9,7,7,9,9,9,12,1,8
2020/10/25,8,13,1,10,2,8,4,1,13,10,7,9,10,8,9,12,10,12,1,8
2020/10/26,8,13,1,10,3,11,5,1,13,10,7,9,10,8,9,12,10,12,1,8
2020/10/30,8,13,1,10,3,11,5,1,13,10,7,9,10,8,9,12,13,12,1,8
2020/10/31,8,16,1,10,3,11,5,1,13,10,7,9,10,8,12,12,13,12,1,11
2020/11/1,8,16,1,10,3,14,5,1,13,10,7,12,13,11,12,12,13,12,1,11
2020/11/2,8,16,4,10,3,14,5,1,13,10,7,12,13,11,12,15,13,12,1,11
2020/11/6,8,16,4,10,3,14,6,1,13,10,7,12,16,11,12,15,13,12,2,11
2020/11/7,11,16,4,13,3,14,6,1,13,10,10,12,16,11,15,15,13,12,2,11
2020/11/8,11,17,4,13,3,17,6,1,13,10,10,12,16,11,15,18,13,15,2,12
2020/11/21,11,17,4,13,3,20,9,1,13,10,13,12,16,11,18,18,13,15,2,12
2020/11/22,14,20,4,13,3,20,9,1,16,11,13,13,16,11,18,18,13,15,2,12
2020/11/23,14,20,4,13,3,20,9,1,16,11,13,13,17,11,18,18,14,15,5,12
2020/11/27,14,20,4,13,3,20,9,1,16,11,13,13,17,14,18,18,14,15,5,12
2020/11/28,14,21,4,13,6,20,10,1,16,14,13,13,17,14,18,18,14,15,5,15
2020/11/29,14,21,4,13,6,21,10,1,16,14,16,13,17,14,19,18,17,15,5,15
2020/11/30,17,21,7,13,6,21,10,1,16,14,16,13,17,14,19,18,17,15,5,15
2020/12/5,17,21,7,13,6,21,10,1,17,14,19,13,17,14,22,18,17,15,6,18
2020/12/6,17,24,7,16,6,24,10,1,17,14,19,13,17,14,22,21,17,15,6,18
2020/12/7,17,24,7,16,6,24,10,1,17,14,19,13,20,14,22,21,17,15,6,18
2020/12/11,20,24,7,16,6,24,10,1,17,14,19,13,20,14,22,21,17,15,6,18
2020/12/12,20,24,7,16,6,24,10,1,20,14,20,13,20,17,22,21,17,18,6,19
2020/12/13,20,25,8,17,6,25,10,1,20,14,20,13,23,17,22,24,17,18,9,19
2020/12/15,20,25,8,17,7,25,10,1,20,14,20,13,23,17,22,24,20,18,9,20
2020/12/16,21,28,9,18,7,25,11,1,23,17,20,14,24,17,22,24,20,18,9,20
2020/12/17,21,28,9,18,7,25,11,1,23,17,23,14,24,17,22,24,20,19,10,20
2020/12/19,21,31,10,18,7,25,11,1,26,17,23,14,24,18,22,24,20,19,10,23
2020/12/20,21,31,10,18,7,25,12,2,26,17,26,14,24,18,22,27,20,22,10,23
2020/12/21,21,31,10,18,7,25,12,2,26,17,26,14,24,18,25,27,20,22,13,23
2020/12/26,21,31,11,18,7,25,12,2,29,17,27,17,25,18,25,28,20,25,13,26
2020/12/27,22,32,11,18,8,26,13,2,29,20,27,17,25,18,25,28,21,25,13,26
2020/12/28,22,32,11,19,8,26,13,2,29,20,27,17,25,18,26,29,21,26,13,26
2020/12/29,23,32,11,19,8,26,13,2,29,23,30,20,26,18,26,29,21,26,16,26
2020/12/30,23,33,11,19,8,26,13,2,29,23,30,20,26,19,26,29,21,26,16,26
2021/1/1,26,33,11,19,8,26,13,2,29,23,33,20,26,19,26,29,21,26,16,26
2021/1/2,26,33,11,22,8,29,14,2,29,23,33,23,26,19,26,29,22,26,16,26
2021/1/3,26,33,11,22,8,29,14,2,29,23,33,23,26,19,26,32,22,26,16,29
2021/1/4,26,33,11,22,8,29,14,2,29,23,33,23,29,19,26,32,22,26,16,29
2021/1/12,26,33,11,22,8,29,14,5,32,23,36,23,29,19,26,32,22,26,16,29
2021/1/13,26,33,12,22,8,30,14,5,32,23,36,23,29,19,26,32,22,26,16,32
2021/1/14,26,33,12,23,8,30,14,5,32,23,36,24,29,19,26,32,22,26,16,32
2021/1/16,29,33,12,23,11,30,17,5,32,23,36,24,29,19,29,35,22,26,16,32
2021/1/17,29,34,12,23,11,33,17,5,32,23,37,24,29,19,29,35,22,26,16,35
2021/1/18,29,34,12,23,11,33,17,5,32,23,37,27,29,19,29,35,22,26,16,35
2021/1/19,32,34,12,23,11,33,17,5,32,23,37,27,29,19,29,38,22,26,16,35
2021/1/20,32,34,12,23,11,33,17,5,32,23,40,27,29,19,29,38,22,26,16,38
2021/1/21,32,34,12,23,11,33,17,5,32,23,40,27,29,19,29,38,22,26,19,38
2021/1/23,32,34,12,23,11,33,17,5,32,23,40,27,29,19,29,38,22,29,19,38
2021/1/26,35,34,12,23,11,33,17,5,32,26,40,30,29,19,29,38,22,29,19,41
2021/1/27,35,34,13,23,11,33,18,8,33,26,40,30,29,19,30,39,23,29,22,41
2021/1/28,35,37,13,23,11,33,18,8,33,26,40,30,29,19,30,39,23,29,22,41
2021/1/30,35,37,14,26,12,33,18,8,33,26,41,31,29,22,30,39,23,32,22,44
2021/1/31,35,40,14,26,12,33,21,8,33,29,41,31,29,22,33,39,23,32,22,44
2021/2/2,35,40,14,29,12,33,21,11,33,29,44,31,29,22,33,39,26,32,22,44
2021/2/3,38,40,14,29,12,33,24,11,36,29,44,31,29,22,33,42,26,32,22,47
2021/2/4,38,40,14,29,12,33,24,11,36,29,44,31,29,22,36,42,26,32,22,47
2021/2/6,39,40,15,29,12,33,25,11,37,29,45,31,29,25,36,42,26,35,23,47
2021/2/7,39,40,15,29,12,36,25,11,37,29,45,31,29,25,39,43,27,35,23,50
2021/2/8,39,40,15,29,12,36,25,11,37,32,45,31,29,25,39,43,27,35,23,50
2021/2/13,39,40,15,29,12,36,26,11,37,32,45,31,29,25,39,46,27,36,26,53
2021/2/14,39,40,18,29,13,36,26,11,37,32,46,34,29,25,39,46,30,36,26,53
2021/2/15,42,40,18,29,13,36,26,11,37,32,46,34,29,25,42,46,30,36,26,53
2021/2/17,42,40,19,29,13,36,26,11,37,32,46,34,29,25,42,46,30,36,27,56
2021/2/19,42,40,19,29,13,36,26,11,37,32,46,34,29,25,42,46,33,36,27,56
2021/2/20,42,40,22,29,14,36,26,11,40,32,46,34,30,25,43,46,33,36,28,56
2021/2/21,45,40,22,29,14,36,26,11,40,32,49,34,30,25,43,49,33,36,28,59
2021/2/22,45,40,22,32,14,36,26,11,40,32,49,34,30,25,43,49,33,36,28,59
2021/2/23,45,40,22,32,14,36,26,11,40,35,49,34,30,25,43,49,33,36,28,59
2021/2/27,45,40,22,32,17,36,26,11,40,35,49,34,30,26,43,49,34,39,28,62
2021/2/28,45,43,23,33,17,39,26,11,40,35,50,37,30,26,44,49,34,39,28,62
2021/3/1,45,43,23,33,17,39,26,11,43,35,50,37,30,26,44,49,34,39,28,62
2021/3/2,45,43,23,33,17,39,26,11,43,35,50,37,30,26,44,49,34,39,28,65
2021/3/3,45,43,23,34,17,39,26,14,43,35,51,37,30,26,44,50,34,39,29,65
2021/3/4,45,43,23,34,17,42,26,14,46,35,51,37,30,26,47,50,34,39,29,65
