Date,Brentford,Norwich,Man United,Burnley,Chelsea,Everton,Leicester,Watford,Tottenham,Newcastle,Liverpool,Aston Villa,Crystal Palace,Leeds,Man City,Brighton,Southampton,Wolves,Arsenal,West Ham
2021/8/13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/8/14,3,0,3,0,3,3,3,3,0,0,3,0,0,0,0,3,0,0,0,0
2021/8/15,3,0,3,0,3,3,3,3,3,0,3,0,0,0,0,3,0,0,0,3
2021/8/21,4,0,3,0,3,4,3,3,3,0,6,3,1,1,3,6,0,0,0,3
2021/8/22,4,0,4,0,6,4,3,3,6,0,6,3,1,1,3,6,1,0,0,3
2021/8/23,4,0,4,0,6,4,3,3,6,0,6,3,1,1,3,6,1,0,0,6
2021/8/28,5,0,4,0,7,7,6,3,6,1,7,4,2,1,6,6,2,0,0,7
2021/8/29,5,0,7,1,7,7,6,3,9,1,7,4,2,2,6,6,2,0,0,7
2021/9/11,5,0,10,1,10,7,6,3,9,1,7,4,5,2,9,9,3,3,3,8
2021/9/12,5,0,10,1,10,7,6,3,9,1,10,4,5,2,9,9,3,3,3,8
2021/9/13,5,0,10,1,10,10,6,3,9,1,10,4,5,2,9,9,3,3,3,8
2021/9/17,5,0,10,1,10,10,6,3,9,2,10,4,5,3,9,9,3,3,3,8
2021/9/18,8,0,10,1,10,10,6,6,9,2,13,7,5,3,10,9,4,3,6,8
2021/9/19,8,0,13,1,13,10,6,6,9,2,13,7,5,3,10,12,4,3,6,8
2021/9/25,9,0,13,2,13,13,7,7,9,3,14,10,5,3,13,12,4,3,6,11
2021/9/26,9,0,13,2,13,13,7,7,9,3,14,10,5,3,13,12,4,6,9,11
2021/9/27,9,0,13,2,13,13,7,7,9,3,14,10,6,3,13,13,4,6,9,11
2021/10/2,9,1,14,3,16,14,7,7,9,3,14,10,6,6,13,14,4,9,10,11
2021/10/3,12,1,14,3,16,14,8,7,12,3,15,10,7,6,14,14,4,9,10,11
2021/10/16,12,2,14,3,19,14,11,7,12,3,18,10,7,6,17,15,7,12,10,11
2021/10/17,12,2,14,3,19,14,11,7,15,3,18,10,7,6,17,15,7,12,10,14
2021/10/18,12,2,14,3,19,14,11,7,15,3,18,10,8,6,17,15,7,12,11,14
2021/10/22,12,2,14,3,19,14,11,7,15,3,18,10,8,6,17,15,7,12,14,14
2021/10/23,12,2,14,4,22,14,11,10,15,4,18,10,9,7,20,15,8,13,14,14
2021/10/24,12,2,14,4,22,14,14,10,15,4,21,10,9,7,20,15,8,13,14,17
2021/10/30,12,2,17,7,25,14,14,10,15,4,22,10,12,7,20,16,11,13,17,17
2021/10/31,12,2,17,7,25,14,14,10,15,4,22,10,12,10,20,16,11,13,17,20
2021/11/1,12,2,17,7,25,14,14,10,15,4,22,10,12,10,20,16,11,16,17,20
2021/11/5,12,2,17,7,25,14,14,10,15,4,22,10,12,10,20,16,14,16,17,20
2021/11/6,12,5,17,8,26,14,14,10,15,5,22,10,15,10,23,17,14,16,17,20
2021/11/7,12,5,17,8,26,15,15,10,16,5,22,10,15,11,23,17,14,16,20,23
