Date,Crystal Palace,Fulham,Bournemouth,Leeds,Newcastle,Tottenham,Everton,Leicester,Man United,West Ham,Wolves,Brentford,Southampton,Man City,Brighton,Arsenal,Aston Villa,Nott'm Forest,Chelsea,Liverpool
2022/8/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2022/8/6,0,1,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,3,1
2022/8/7,0,1,3,3,3,3,0,1,0,0,0,1,0,3,3,3,0,0,3,1
2022/8/13,0,2,3,4,4,3,0,1,0,0,1,4,1,6,4,6,3,0,3,1
2022/8/14,0,2,3,4,4,4,0,1,0,0,1,4,1,6,4,6,3,3,4,1
2022/8/15,1,2,3,4,4,4,0,1,0,0,1,4,1,6,4,6,3,3,4,2
2022/8/20,4,5,3,4,4,7,1,1,0,0,1,4,4,6,4,9,3,4,4,2
2022/8/21,4,5,3,7,5,7,1,1,0,0,1,4,4,7,7,9,3,4,4,2
2022/8/22,4,5,3,7,5,7,1,1,3,0,1,4,4,7,7,9,3,4,4,2
2022/8/27,4,5,3,7,5,7,2,1,6,0,1,5,4,10,10,12,3,4,7,5
2022/8/28,4,5,3,7,6,10,2,1,6,3,2,5,4,10,10,12,3,4,7,5
2022/8/30,5,8,3,8,6,10,3,1,6,3,2,6,7,10,10,12,3,4,7,5
2022/8/31,5,8,4,8,6,11,3,1,6,4,3,6,7,13,10,15,3,4,7,8
2022/9/1,5,8,4,8,6,11,3,1,9,4,3,6,7,13,10,15,3,4,7,8
2022/9/3,6,8,7,8,7,14,4,1,9,4,6,9,7,14,10,15,4,4,10,9
2022/9/4,6,8,7,8,7,14,4,1,12,4,6,9,7,14,13,15,4,4,10,9
2022/9/16,6,11,7,8,7,14,4,1,12,4,6,9,7,14,13,15,7,4,10,9
2022/9/17,6,11,8,8,8,17,4,1,12,4,6,9,7,17,13,15,7,4,10,9
2022/9/18,6,11,8,8,8,17,7,1,12,4,6,9,7,17,13,18,7,4,10,9
2022/10/1,6,11,9,8,11,17,10,1,12,7,6,10,7,17,14,21,7,4,13,10
2022/10/2,6,11,9,9,11,17,10,1,12,7,6,10,7,20,14,21,8,4,13,10
2022/10/3,6,11,9,9,11,17,10,4,12,7,6,10,7,20,14,21,8,4,13,10
2022/10/8,6,11,12,9,14,20,10,4,12,7,6,10,7,23,14,21,8,4,16,10
2022/10/9,9,11,12,9,14,20,10,4,15,10,6,10,7,23,14,24,8,4,16,10
2022/10/10,9,11,12,9,14,20,10,4,15,10,6,10,7,23,14,24,9,5,16,10
2022/10/14,9,11,12,9,14,20,10,4,15,10,6,13,7,23,14,24,9,5,16,10
2022/10/15,10,12,13,9,14,23,10,5,15,10,9,13,7,23,14,24,9,5,16,10
2022/10/16,10,12,13,9,15,23,10,5,16,11,9,13,8,23,14,27,9,5,19,13
2022/10/18,13,12,13,9,15,23,10,5,16,11,9,13,8,23,15,27,9,6,19,13
2022/10/19,13,12,13,9,18,23,10,5,19,11,9,14,11,23,15,27,9,6,20,16
2022/10/20,13,15,13,9,18,23,10,8,19,11,9,14,11,23,15,27,9,6,20,16
2022/10/22,13,15,13,9,18,23,13,8,20,11,9,14,11,26,15,27,9,9,21,16
2022/10/23,13,18,13,9,21,23,13,11,20,11,9,14,12,26,15,28,12,9,21,16
2022/10/24,13,18,13,9,21,23,13,11,20,14,9,14,12,26,15,28,12,9,21,16
2022/10/29,16,19,13,12,24,26,14,11,20,14,10,15,12,29,18,28,12,9,21,16
2022/10/30,16,19,13,12,24,26,14,11,23,14,10,15,12,29,18,31,12,9,21,16
2022/11/5,16,19,13,15,24,26,14,14,23,14,10,16,12,32,21,31,12,10,21,16
2022/11/6,19,19,13,15,27,26,14,14,23,14,10,16,12,32,21,34,15,10,21,19
2022/11/12,19,19,16,15,30,29,14,17,23,14,10,19,12,32,21,37,15,13,21,22
2022/11/13,19,19,16,15,30,29,14,17,26,14,10,19,12,32,21,37,18,13,21,22
2022/12/26,19,22,16,15,33,30,14,17,26,14,13,20,12,32,24,40,18,13,21,25
2022/12/27,19,22,16,15,33,30,14,17,29,14,13,20,12,32,24,40,18,13,24,25
2022/12/28,19,22,16,15,33,30,14,17,29,14,13,20,12,35,24,40,18,13,24,25
2022/12/30,19,22,16,15,33,30,14,17,29,14,13,23,12,35,24,40,18,13,24,28
2022/12/31,22,25,16,16,34,30,15,17,32,14,13,23,12,36,24,43,18,13,24,28
2023/1/1,22,25,16,16,34,30,15,17,32,14,13,23,12,36,24,43,21,14,25,28
2023/1/2,22,25,16,16,34,30,15,17,32,14,13,26,12,36,24,43,21,14,25,28
2023/1/3,22,28,16,16,35,30,15,17,35,14,13,26,12,36,27,44,21,14,25,28
2023/1/4,22,28,16,17,35,33,15,17,35,15,14,26,12,36,27,44,22,17,25,28
2023/1/5,22,28,16,17,35,33,15,17,35,15,14,26,12,39,27,44,22,17,25,28
2023/1/12,22,31,16,17,35,33,15,17,35,15,14,26,12,39,27,44,22,17,25,28
2023/1/13,22,31,16,17,35,33,15,17,35,15,14,26,12,39,27,44,25,17,25,28
2023/1/14,22,31,16,17,35,33,15,17,38,15,17,29,15,39,30,44,25,20,25,28
2023/1/15,22,31,16,17,38,33,15,17,38,15,17,29,15,39,30,47,25,20,28,28
2023/1/18,23,31,16,17,38,33,15,17,39,15,17,29,15,39,30,47,25,20,28,28
2023/1/19,23,31,16,17,38,33,15,17,39,15,17,29,15,42,30,47,25,20,28,28
2023/1/21,24,31,17,17,39,33,15,18,39,18,17,29,15,42,31,47,28,21,29,29
2023/1/22,24,31,17,18,39,33,15,18,39,18,17,30,15,45,31,50,28,21,29,29
2023/1/23,24,31,17,18,39,36,15,18,39,18,17,30,15,45,31,50,28,21,29,29
2023/2/3,24,32,17,18,39,36,15,18,39,18,17,30,15,45,31,50,28,21,30,29
2023/2/4,24,32,17,18,40,36,18,21,42,19,20,33,15,45,34,50,28,21,30,29
2023/2/5,24,32,17,18,40,39,18,21,42,19,20,33,15,45,34,50,28,24,30,29
2023/2/8,24,32,17,19,40,39,18,21,43,19,20,33,15,45,34,50,28,24,30,29
2023/2/11,25,35,18,19,41,39,18,24,43,20,23,34,15,45,35,51,28,24,31,29
2023/2/12,25,35,18,19,41,39,18,24,46,20,23,34,15,48,35,51,28,24,31,29
2023/2/13,25,35,18,19,41,39,18,24,46,20,23,34,15,48,35,51,28,24,31,32
2023/2/15,25,35,18,19,41,39,18,24,46,20,23,34,15,51,35,51,28,24,31,32
2023/2/18,26,38,21,19,41,39,21,24,46,20,23,35,18,52,35,54,28,25,31,35
2023/2/19,26,38,21,19,41,42,21,24,49,20,23,35,18,52,35,54,28,25,31,35
2023/2/24,26,39,21,19,41,42,21,24,49,20,24,35,18,52,35,54,28,25,31,35
