Date,Southampton,Leeds,Man United,Everton,Charlton,Blackburn,Fulham,Arsenal,Aston Villa,Newcastle,Chelsea,West Brom,West Ham,Sunderland,Tottenham,Man City,Birmingham,Liverpool,Bolton,Middlesbrough,Portsmouth,Leicester,Wolves,Norwich,Crystal Palace,Wigan,Sheffield United,Reading,Watford,Derby,Hull,Stoke,Burnley,Blackpool,QPR,Swansea,Cardiff,Bournemouth,Brighton,Huddersfield,Brentford,Nott'm Forest
2002/8/17,1,3,3,1,0,1,3,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/19,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/23,0,0,1,0,0,0,0,3,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/24,0,3,1,3,3,3,1,4,0,3,1,0,1,0,3,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/27,0,3,1,3,3,3,1,7,0,3,1,0,1,0,6,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/28,1,3,1,4,3,4,1,7,3,3,2,0,1,3,6,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/8/31,1,3,2,4,6,4,1,7,3,3,2,3,1,4,9,6,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/1,1,3,2,4,6,4,1,8,3,3,3,3,1,4,9,6,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/2,1,3,2,4,6,4,1,8,3,4,3,3,1,4,9,6,4,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/3,1,3,5,4,6,4,1,8,3,4,3,3,1,4,9,6,4,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/10,1,3,5,4,6,4,1,11,3,4,3,3,1,4,9,6,4,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/11,4,6,5,4,6,4,4,11,6,4,6,6,1,4,9,6,5,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/14,4,9,5,7,6,4,7,14,6,4,9,9,1,4,9,6,5,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/15,4,9,5,7,6,5,7,14,6,4,9,9,1,4,12,7,5,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/16,4,9,5,7,6,5,7,14,6,4,9,9,1,4,12,7,8,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/21,5,9,8,7,7,5,7,17,6,7,9,9,2,4,12,8,8,15,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/22,5,9,8,7,7,8,7,17,9,7,9,9,2,4,12,8,8,15,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/23,5,9,8,7,7,8,8,17,9,7,10,9,2,4,12,8,8,15,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/28,6,9,11,10,7,8,8,20,9,10,10,9,5,7,12,8,8,18,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/9/30,6,9,11,10,7,11,8,20,9,10,10,9,5,7,12,8,8,18,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/5,9,9,11,10,7,11,8,20,9,13,10,9,5,7,12,8,11,18,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/6,9,10,11,10,7,11,11,23,10,13,10,9,5,7,15,8,11,21,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/7,9,10,14,10,7,11,11,23,10,13,10,9,5,7,15,8,11,21,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/19,9,10,15,13,7,14,12,23,10,13,13,10,8,7,15,8,12,24,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/20,9,10,15,13,10,14,12,23,10,13,13,10,8,7,18,8,12,24,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/21,12,10,15,13,10,14,12,23,10,13,13,10,8,7,18,8,12,24,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/23,12,10,15,13,10,14,12,23,10,13,13,10,11,7,18,8,12,24,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002/10/26,12,11,16,13,10,17,12,23,11,16,16,10,11,7,18,11,12,27,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
